year,month,country,revenue_mad_millions
2002,4,Royaume-Uni,0.139
2002,4,Italie,0.116
2002,4,Allemagne,0.116
2002,4,États-Unis,0.092
2002,4,Belgique,0.069
2002,4,Pays-Bas,0.069
2002,4,Brésil,0.046
2002,4,Canada,0.046
2002,5,France,0.571
2002,5,Espagne,0.343
2002,5,Royaume-Uni,0.137
2002,5,Italie,0.114
2002,5,Allemagne,0.114
2002,5,États-Unis,0.091
2002,5,Belgique,0.069
2002,5,Pays-Bas,0.069
2002,5,Brésil,0.046
2002,5,Canada,0.046
2002,6,France,0.569
2002,6,Espagne,0.342
2002,6,Royaume-Uni,0.137
2002,6,Italie,0.114
2002,6,Allemagne,0.114
2002,6,États-Unis,0.091
2002,6,Belgique,0.068
2002,6,Pays-Bas,0.068
2002,6,Brésil,0.046
2002,6,Canada,0.046
2002,7,France,1.011
2002,7,Espagne,0.606
2002,7,Royaume-Uni,0.243
2002,7,Italie,0.202
2002,7,Allemagne,0.202
2002,7,États-Unis,0.162
2002,7,Belgique,0.121
2002,7,Pays-Bas,0.121
2002,7,Brésil,0.081
2002,7,Canada,0.081
2002,8,France,1.054
2002,8,Espagne,0.633
2002,8,Royaume-Uni,0.253
2002,8,Italie,0.211
2002,8,Allemagne,0.211
2002,8,États-Unis,0.169
2002,8,Belgique,0.127
2002,8,Pays-Bas,0.127
2002,8,Brésil,0.084
2002,8,Canada,0.084
2002,9,France,0.758
2002,9,Espagne,0.455
2002,9,Royaume-Uni,0.182
2002,9,Italie,0.152
2002,9,Allemagne,0.152
2002,9,États-Unis,0.121
2002,9,Belgique,0.091
2002,9,Pays-Bas,0.091
2002,9,Brésil,0.061
2002,9,Canada,0.061
2002,10,France,0.742
2002,10,Espagne,0.445
2002,10,Royaume-Uni,0.178
2002,10,Italie,0.148
2002,10,Allemagne,0.148
2002,10,États-Unis,0.119
2002,10,Belgique,0.089
2002,10,Pays-Bas,0.089
2002,10,Brésil,0.059
2002,10,Canada,0.059
2002,11,France,0.537
2002,11,Espagne,0.322
2002,11,Royaume-Uni,0.129
2002,11,Italie,0.107
2002,11,Allemagne,0.107
2002,11,États-Unis,0.086
2002,11,Belgique,0.064
2002,11,Pays-Bas,0.064
2002,11,Brésil,0.043
2002,11,Canada,0.043
2002,12,France,0.553
2002,12,Espagne,0.332
2002,12,Royaume-Uni,0.133
2002,12,Italie,0.111
2002,12,Allemagne,0.111
2002,12,États-Unis,0.088
2002,12,Belgique,0.066
2002,12,Pays-Bas,0.066
2002,12,Brésil,0.044
2002,12,Canada,0.044
2003,1,France,0.438
2003,1,Espagne,0.263
2003,1,Royaume-Uni,0.105
2003,1,Italie,0.088
2003,1,Allemagne,0.088
2003,1,États-Unis,0.07
2003,1,Belgique,0.053
2003,1,Pays-Bas,0.053
2003,1,Brésil,0.035
2003,1,Canada,0.035
2003,2,France,0.398
2003,2,Espagne,0.239
2003,2,Royaume-Uni,0.096
2003,2,Italie,0.08
2003,2,Allemagne,0.08
2003,2,États-Unis,0.064
2003,2,Belgique,0.048
2003,2,Pays-Bas,0.048
2003,2,Brésil,0.032
2003,2,Canada,0.032
2003,3,France,0.555
2003,3,Espagne,0.333
2003,3,Royaume-Uni,0.133
2003,3,Italie,0.111
2003,3,Allemagne,0.111
2003,3,États-Unis,0.089
2003,3,Belgique,0.067
2003,3,Pays-Bas,0.067
2003,3,Brésil,0.044
2003,3,Canada,0.044
2003,4,France,0.576
2003,4,Espagne,0.346
2003,4,Royaume-Uni,0.138
2003,4,Italie,0.115
2003,4,Allemagne,0.115
2003,4,États-Unis,0.092
2003,4,Belgique,0.069
2003,4,Pays-Bas,0.069
2003,4,Brésil,0.046
2003,4,Canada,0.046
2003,5,France,0.663
2003,5,Espagne,0.398
2003,5,Royaume-Uni,0.159
2003,5,Italie,0.133
2003,5,Allemagne,0.133
2003,5,États-Unis,0.106
2003,5,Belgique,0.08
2003,5,Pays-Bas,0.08
2003,5,Brésil,0.053
2003,5,Canada,0.053
2003,6,France,0.623
2003,6,Espagne,0.374
2003,6,Royaume-Uni,0.149
2003,6,Italie,0.125
2003,6,Allemagne,0.125
2003,6,États-Unis,0.1
2003,6,Belgique,0.075
2003,6,Pays-Bas,0.075
2003,6,Brésil,0.05
2003,6,Canada,0.05
2003,7,France,0.938
2003,7,Espagne,0.563
2003,7,Royaume-Uni,0.225
2003,7,Italie,0.188
2003,7,Allemagne,0.188
2003,7,États-Unis,0.15
2003,7,Belgique,0.113
2003,7,Pays-Bas,0.113
2003,7,Brésil,0.075
2003,7,Canada,0.075
2003,8,France,1.045
2003,8,Espagne,0.627
2003,8,Royaume-Uni,0.251
2003,8,Italie,0.209
2003,8,Allemagne,0.209
2003,8,États-Unis,0.167
2003,8,Belgique,0.125
2003,8,Pays-Bas,0.125
2003,8,Brésil,0.084
2003,8,Canada,0.084
2003,9,France,0.73
2003,9,Espagne,0.438
2003,9,Royaume-Uni,0.175
2003,9,Italie,0.146
2003,9,Allemagne,0.146
2003,9,États-Unis,0.117
2003,9,Belgique,0.088
2003,9,Pays-Bas,0.088
2003,9,Brésil,0.058
2003,9,Canada,0.058
2003,10,France,0.656
2003,10,Espagne,0.394
2003,10,Royaume-Uni,0.158
2003,10,Italie,0.131
2003,10,Allemagne,0.131
2003,10,États-Unis,0.105
2003,10,Belgique,0.079
2003,10,Pays-Bas,0.079
2003,10,Brésil,0.053
2003,10,Canada,0.053
2003,11,France,0.502
2003,11,Espagne,0.301
2003,11,Royaume-Uni,0.12
2003,11,Italie,0.1
2003,11,Allemagne,0.1
2003,11,États-Unis,0.08
2003,11,Belgique,0.06
2003,11,Pays-Bas,0.06
2003,11,Brésil,0.04
2003,11,Canada,0.04
2003,12,France,0.527
2003,12,Espagne,0.316
2003,12,Royaume-Uni,0.127
2003,12,Italie,0.105
2003,12,Allemagne,0.105
2003,12,États-Unis,0.084
2003,12,Belgique,0.063
2003,12,Pays-Bas,0.063
2003,12,Brésil,0.042
2003,12,Canada,0.042
2004,1,France,0.588
2004,1,Espagne,0.353
2004,1,Royaume-Uni,0.141
2004,1,Italie,0.118
2004,1,Allemagne,0.118
2004,1,États-Unis,0.094
2004,1,Belgique,0.071
2004,1,Pays-Bas,0.071
2004,1,Brésil,0.047
2004,1,Canada,0.047
2004,2,France,0.434
2004,2,Espagne,0.261
2004,2,Royaume-Uni,0.104
2004,2,Italie,0.087
2004,2,Allemagne,0.087
2004,2,États-Unis,0.069
2004,2,Belgique,0.052
2004,2,Pays-Bas,0.052
2004,2,Brésil,0.035
2004,2,Canada,0.035
2004,3,France,0.561
2004,3,Espagne,0.337
2004,3,Royaume-Uni,0.135
2004,3,Italie,0.112
2004,3,Allemagne,0.112
2004,3,États-Unis,0.09
2004,3,Belgique,0.067
2004,3,Pays-Bas,0.067
2004,3,Brésil,0.045
2004,3,Canada,0.045
2004,4,France,0.779
2004,4,Espagne,0.468
2004,4,Royaume-Uni,0.187
2004,4,Italie,0.156
2004,4,Allemagne,0.156
2004,4,États-Unis,0.125
2004,4,Belgique,0.094
2004,4,Pays-Bas,0.094
2004,4,Brésil,0.062
2004,4,Canada,0.062
2004,5,France,0.687
2004,5,Espagne,0.412
2004,5,Royaume-Uni,0.165
2004,5,Italie,0.137
2004,5,Allemagne,0.137
2004,5,États-Unis,0.11
2004,5,Belgique,0.082
2004,5,Pays-Bas,0.082
2004,5,Brésil,0.055
2004,5,Canada,0.055
2004,6,France,0.671
2004,6,Espagne,0.403
2004,6,Royaume-Uni,0.161
2004,6,Italie,0.134
2004,6,Allemagne,0.134
2004,6,États-Unis,0.107
2004,6,Belgique,0.081
2004,6,Pays-Bas,0.081
2004,6,Brésil,0.054
2004,6,Canada,0.054
2004,7,France,1.008
2004,7,Espagne,0.605
2004,7,Royaume-Uni,0.242
2004,7,Italie,0.202
2004,7,Allemagne,0.202
2004,7,États-Unis,0.161
2004,7,Belgique,0.121
2004,7,Pays-Bas,0.121
2004,7,Brésil,0.081
2004,7,Canada,0.081
2004,8,France,1.084
2004,8,Espagne,0.651
2004,8,Royaume-Uni,0.26
2004,8,Italie,0.217
2004,8,Allemagne,0.217
2004,8,États-Unis,0.174
2004,8,Belgique,0.13
2004,8,Pays-Bas,0.13
2004,8,Brésil,0.087
2004,8,Canada,0.087
2004,9,France,0.797
2004,9,Espagne,0.478
2004,9,Royaume-Uni,0.191
2004,9,Italie,0.159
2004,9,Allemagne,0.159
2004,9,États-Unis,0.128
2004,9,Belgique,0.096
2004,9,Pays-Bas,0.096
2004,9,Brésil,0.064
2004,9,Canada,0.064
2004,10,France,0.747
2004,10,Espagne,0.448
2004,10,Royaume-Uni,0.179
2004,10,Italie,0.149
2004,10,Allemagne,0.149
2004,10,États-Unis,0.12
2004,10,Belgique,0.09
2004,10,Pays-Bas,0.09
2004,10,Brésil,0.06
2004,10,Canada,0.06
2004,11,France,0.622
2004,11,Espagne,0.373
2004,11,Royaume-Uni,0.149
2004,11,Italie,0.124
2004,11,Allemagne,0.124
2004,11,États-Unis,0.1
2004,11,Belgique,0.075
2004,11,Pays-Bas,0.075
2004,11,Brésil,0.05
2004,11,Canada,0.05
2004,12,France,0.65
2004,12,Espagne,0.39
2004,12,Royaume-Uni,0.156
2004,12,Italie,0.13
2004,12,Allemagne,0.13
2004,12,États-Unis,0.104
2004,12,Belgique,0.078
2004,12,Pays-Bas,0.078
2004,12,Brésil,0.052
2004,12,Canada,0.052
2005,1,France,0.642
2005,1,Espagne,0.385
2005,1,Royaume-Uni,0.154
2005,1,Italie,0.128
2005,1,Allemagne,0.128
2005,1,États-Unis,0.103
2005,1,Belgique,0.077
2005,1,Pays-Bas,0.077
2005,1,Brésil,0.051
2005,1,Canada,0.051
2005,2,France,0.503
2005,2,Espagne,0.302
2005,2,Royaume-Uni,0.121
2005,2,Italie,0.101
2005,2,Allemagne,0.101
2005,2,États-Unis,0.08
2005,2,Belgique,0.06
2005,2,Pays-Bas,0.06
2005,2,Brésil,0.04
2005,2,Canada,0.04
2005,3,France,0.656
2005,3,Espagne,0.394
2005,3,Royaume-Uni,0.158
2005,3,Italie,0.131
2005,3,Allemagne,0.131
2005,3,États-Unis,0.105
2005,3,Belgique,0.079
2005,3,Pays-Bas,0.079
2005,3,Brésil,0.053
2005,3,Canada,0.053
2005,4,France,0.863
2005,4,Espagne,0.518
2005,4,Royaume-Uni,0.207
2005,4,Italie,0.173
2005,4,Allemagne,0.173
2005,4,États-Unis,0.138
2005,4,Belgique,0.104
2005,4,Pays-Bas,0.104
2005,4,Brésil,0.069
2005,4,Canada,0.069
2005,5,France,0.7
2005,5,Espagne,0.42
2005,5,Royaume-Uni,0.168
2005,5,Italie,0.14
2005,5,Allemagne,0.14
2005,5,États-Unis,0.112
2005,5,Belgique,0.084
2005,5,Pays-Bas,0.084
2005,5,Brésil,0.056
2005,5,Canada,0.056
2005,6,France,0.719
2005,6,Espagne,0.431
2005,6,Royaume-Uni,0.172
2005,6,Italie,0.144
2005,6,Allemagne,0.144
2005,6,États-Unis,0.115
2005,6,Belgique,0.086
2005,6,Pays-Bas,0.086
2005,6,Brésil,0.057
2005,6,Canada,0.057
2005,7,France,1.121
2005,7,Espagne,0.672
2005,7,Royaume-Uni,0.269
2005,7,Italie,0.224
2005,7,Allemagne,0.224
2005,7,États-Unis,0.179
2005,7,Belgique,0.134
2005,7,Pays-Bas,0.134
2005,7,Brésil,0.09
2005,7,Canada,0.09
2005,8,France,1.382
2005,8,Espagne,0.829
2005,8,Royaume-Uni,0.332
2005,8,Italie,0.276
2005,8,Allemagne,0.276
2005,8,États-Unis,0.221
2005,8,Belgique,0.166
2005,8,Pays-Bas,0.166
2005,8,Brésil,0.111
2005,8,Canada,0.111
2005,9,France,0.979
2005,9,Espagne,0.587
2005,9,Royaume-Uni,0.235
2005,9,Italie,0.196
2005,9,Allemagne,0.196
2005,9,États-Unis,0.157
2005,9,Belgique,0.117
2005,9,Pays-Bas,0.117
2005,9,Brésil,0.078
2005,9,Canada,0.078
2005,10,France,0.781
2005,10,Espagne,0.469
2005,10,Royaume-Uni,0.187
2005,10,Italie,0.156
2005,10,Allemagne,0.156
2005,10,États-Unis,0.125
2005,10,Belgique,0.094
2005,10,Pays-Bas,0.094
2005,10,Brésil,0.062
2005,10,Canada,0.062
2005,11,France,0.67
2005,11,Espagne,0.402
2005,11,Royaume-Uni,0.161
2005,11,Italie,0.134
2005,11,Allemagne,0.134
2005,11,États-Unis,0.107
2005,11,Belgique,0.08
2005,11,Pays-Bas,0.08
2005,11,Brésil,0.054
2005,11,Canada,0.054
2005,12,France,0.756
2005,12,Espagne,0.453
2005,12,Royaume-Uni,0.181
2005,12,Italie,0.151
2005,12,Allemagne,0.151
2005,12,États-Unis,0.121
2005,12,Belgique,0.091
2005,12,Pays-Bas,0.091
2005,12,Brésil,0.06
2005,12,Canada,0.06
2006,1,France,0.677
2006,1,Espagne,0.406
2006,1,Royaume-Uni,0.162
2006,1,Italie,0.135
2006,1,Allemagne,0.135
2006,1,États-Unis,0.108
2006,1,Belgique,0.081
2006,1,Pays-Bas,0.081
2006,1,Brésil,0.054
2006,1,Canada,0.054
2006,2,France,0.477
2006,2,Espagne,0.286
2006,2,Royaume-Uni,0.114
2006,2,Italie,0.095
2006,2,Allemagne,0.095
2006,2,États-Unis,0.076
2006,2,Belgique,0.057
2006,2,Pays-Bas,0.057
2006,2,Brésil,0.038
2006,2,Canada,0.038
2006,3,France,0.733
2006,3,Espagne,0.44
2006,3,Royaume-Uni,0.176
2006,3,Italie,0.147
2006,3,Allemagne,0.147
2006,3,États-Unis,0.117
2006,3,Belgique,0.088
2006,3,Pays-Bas,0.088
2006,3,Brésil,0.059
2006,3,Canada,0.059
2006,4,France,0.923
2006,4,Espagne,0.554
2006,4,Royaume-Uni,0.222
2006,4,Italie,0.185
2006,4,Allemagne,0.185
2006,4,États-Unis,0.148
2006,4,Belgique,0.111
2006,4,Pays-Bas,0.111
2006,4,Brésil,0.074
2006,4,Canada,0.074
2006,5,France,0.961
2006,5,Espagne,0.577
2006,5,Royaume-Uni,0.231
2006,5,Italie,0.192
2006,5,Allemagne,0.192
2006,5,États-Unis,0.154
2006,5,Belgique,0.115
2006,5,Pays-Bas,0.115
2006,5,Brésil,0.077
2006,5,Canada,0.077
2006,6,France,0.733
2006,6,Espagne,0.44
2006,6,Royaume-Uni,0.176
2006,6,Italie,0.147
2006,6,Allemagne,0.147
2006,6,États-Unis,0.117
2006,6,Belgique,0.088
2006,6,Pays-Bas,0.088
2006,6,Brésil,0.059
2006,6,Canada,0.059
2006,7,France,1.145
2006,7,Espagne,0.687
2006,7,Royaume-Uni,0.275
2006,7,Italie,0.229
2006,7,Allemagne,0.229
2006,7,États-Unis,0.183
2006,7,Belgique,0.137
2006,7,Pays-Bas,0.137
2006,7,Brésil,0.092
2006,7,Canada,0.092
2006,8,France,1.41
2006,8,Espagne,0.846
2006,8,Royaume-Uni,0.338
2006,8,Italie,0.282
2006,8,Allemagne,0.282
2006,8,États-Unis,0.226
2006,8,Belgique,0.169
2006,8,Pays-Bas,0.169
2006,8,Brésil,0.113
2006,8,Canada,0.113
2006,9,France,1.192
2006,9,Espagne,0.715
2006,9,Royaume-Uni,0.286
2006,9,Italie,0.238
2006,9,Allemagne,0.238
2006,9,États-Unis,0.191
2006,9,Belgique,0.143
2006,9,Pays-Bas,0.143
2006,9,Brésil,0.095
2006,9,Canada,0.095
2006,10,France,1.033
2006,10,Espagne,0.62
2006,10,Royaume-Uni,0.248
2006,10,Italie,0.207
2006,10,Allemagne,0.207
2006,10,États-Unis,0.165
2006,10,Belgique,0.124
2006,10,Pays-Bas,0.124
2006,10,Brésil,0.083
2006,10,Canada,0.083
2006,11,France,0.678
2006,11,Espagne,0.407
2006,11,Royaume-Uni,0.163
2006,11,Italie,0.136
2006,11,Allemagne,0.136
2006,11,États-Unis,0.109
2006,11,Belgique,0.081
2006,11,Pays-Bas,0.081
2006,11,Brésil,0.054
2006,11,Canada,0.054
2006,12,France,0.781
2006,12,Espagne,0.469
2006,12,Royaume-Uni,0.187
2006,12,Italie,0.156
2006,12,Allemagne,0.156
2006,12,États-Unis,0.125
2006,12,Belgique,0.094
2006,12,Pays-Bas,0.094
2006,12,Brésil,0.062
2006,12,Canada,0.062
2007,1,France,0.671
2007,1,Espagne,0.403
2007,1,Royaume-Uni,0.161
2007,1,Italie,0.134
2007,1,Allemagne,0.134
2007,1,États-Unis,0.107
2007,1,Belgique,0.081
2007,1,Pays-Bas,0.081
2007,1,Brésil,0.054
2007,1,Canada,0.054
2007,2,France,0.594
2007,2,Espagne,0.356
2007,2,Royaume-Uni,0.143
2007,2,Italie,0.119
2007,2,Allemagne,0.119
2007,2,États-Unis,0.095
2007,2,Belgique,0.071
2007,2,Pays-Bas,0.071
2007,2,Brésil,0.048
2007,2,Canada,0.048
2007,3,France,0.806
2007,3,Espagne,0.483
2007,3,Royaume-Uni,0.193
2007,3,Italie,0.161
2007,3,Allemagne,0.161
2007,3,États-Unis,0.129
2007,3,Belgique,0.097
2007,3,Pays-Bas,0.097
2007,3,Brésil,0.064
2007,3,Canada,0.064
2007,4,France,1.08
2007,4,Espagne,0.648
2007,4,Royaume-Uni,0.259
2007,4,Italie,0.216
2007,4,Allemagne,0.216
2007,4,États-Unis,0.173
2007,4,Belgique,0.13
2007,4,Pays-Bas,0.13
2007,4,Brésil,0.086
2007,4,Canada,0.086
2007,5,France,0.899
2007,5,Espagne,0.539
2007,5,Royaume-Uni,0.216
2007,5,Italie,0.18
2007,5,Allemagne,0.18
2007,5,États-Unis,0.144
2007,5,Belgique,0.108
2007,5,Pays-Bas,0.108
2007,5,Brésil,0.072
2007,5,Canada,0.072
2007,6,France,0.856
2007,6,Espagne,0.514
2007,6,Royaume-Uni,0.205
2007,6,Italie,0.171
2007,6,Allemagne,0.171
2007,6,États-Unis,0.137
2007,6,Belgique,0.103
2007,6,Pays-Bas,0.103
2007,6,Brésil,0.068
2007,6,Canada,0.068
2007,7,France,1.376
2007,7,Espagne,0.826
2007,7,Royaume-Uni,0.33
2007,7,Italie,0.275
2007,7,Allemagne,0.275
2007,7,États-Unis,0.22
2007,7,Belgique,0.165
2007,7,Pays-Bas,0.165
2007,7,Brésil,0.11
2007,7,Canada,0.11
2007,8,France,1.576
2007,8,Espagne,0.945
2007,8,Royaume-Uni,0.378
2007,8,Italie,0.315
2007,8,Allemagne,0.315
2007,8,États-Unis,0.252
2007,8,Belgique,0.189
2007,8,Pays-Bas,0.189
2007,8,Brésil,0.126
2007,8,Canada,0.126
2007,9,France,1.116
2007,9,Espagne,0.67
2007,9,Royaume-Uni,0.268
2007,9,Italie,0.223
2007,9,Allemagne,0.223
2007,9,États-Unis,0.179
2007,9,Belgique,0.134
2007,9,Pays-Bas,0.134
2007,9,Brésil,0.089
2007,9,Canada,0.089
2007,10,France,1.02
2007,10,Espagne,0.612
2007,10,Royaume-Uni,0.245
2007,10,Italie,0.204
2007,10,Allemagne,0.204
2007,10,États-Unis,0.163
2007,10,Belgique,0.122
2007,10,Pays-Bas,0.122
2007,10,Brésil,0.082
2007,10,Canada,0.082
2007,11,France,0.898
2007,11,Espagne,0.539
2007,11,Royaume-Uni,0.216
2007,11,Italie,0.18
2007,11,Allemagne,0.18
2007,11,États-Unis,0.144
2007,11,Belgique,0.108
2007,11,Pays-Bas,0.108
2007,11,Brésil,0.072
2007,11,Canada,0.072
2007,12,France,0.941
2007,12,Espagne,0.565
2007,12,Royaume-Uni,0.226
2007,12,Italie,0.188
2007,12,Allemagne,0.188
2007,12,États-Unis,0.151
2007,12,Belgique,0.113
2007,12,Pays-Bas,0.113
2007,12,Brésil,0.075
2007,12,Canada,0.075
2008,1,France,0.822
2008,1,Espagne,0.493
2008,1,Royaume-Uni,0.197
2008,1,Italie,0.164
2008,1,Allemagne,0.164
2008,1,États-Unis,0.132
2008,1,Belgique,0.099
2008,1,Pays-Bas,0.099
2008,1,Brésil,0.066
2008,1,Canada,0.066
2008,2,France,0.701
2008,2,Espagne,0.421
2008,2,Royaume-Uni,0.168
2008,2,Italie,0.14
2008,2,Allemagne,0.14
2008,2,États-Unis,0.112
2008,2,Belgique,0.084
2008,2,Pays-Bas,0.084
2008,2,Brésil,0.056
2008,2,Canada,0.056
2008,3,France,0.987
2008,3,Espagne,0.592
2008,3,Royaume-Uni,0.237
2008,3,Italie,0.197
2008,3,Allemagne,0.197
2008,3,États-Unis,0.158
2008,3,Belgique,0.118
2008,3,Pays-Bas,0.118
2008,3,Brésil,0.079
2008,3,Canada,0.079
2008,4,France,1.027
2008,4,Espagne,0.616
2008,4,Royaume-Uni,0.246
2008,4,Italie,0.205
2008,4,Allemagne,0.205
2008,4,États-Unis,0.164
2008,4,Belgique,0.123
2008,4,Pays-Bas,0.123
2008,4,Brésil,0.082
2008,4,Canada,0.082
2008,5,France,1.123
2008,5,Espagne,0.674
2008,5,Royaume-Uni,0.27
2008,5,Italie,0.225
2008,5,Allemagne,0.225
2008,5,États-Unis,0.18
2008,5,Belgique,0.135
2008,5,Pays-Bas,0.135
2008,5,Brésil,0.09
2008,5,Canada,0.09
2008,6,France,0.851
2008,6,Espagne,0.51
2008,6,Royaume-Uni,0.204
2008,6,Italie,0.17
2008,6,Allemagne,0.17
2008,6,États-Unis,0.136
2008,6,Belgique,0.102
2008,6,Pays-Bas,0.102
2008,6,Brésil,0.068
2008,6,Canada,0.068
2008,7,France,1.461
2008,7,Espagne,0.877
2008,7,Royaume-Uni,0.351
2008,7,Italie,0.292
2008,7,Allemagne,0.292
2008,7,États-Unis,0.234
2008,7,Belgique,0.175
2008,7,Pays-Bas,0.175
2008,7,Brésil,0.117
2008,7,Canada,0.117
2008,8,France,2.065
2008,8,Espagne,1.239
2008,8,Royaume-Uni,0.496
2008,8,Italie,0.413
2008,8,Allemagne,0.413
2008,8,États-Unis,0.33
2008,8,Belgique,0.248
2008,8,Pays-Bas,0.248
2008,8,Brésil,0.165
2008,8,Canada,0.165
2008,9,France,1.205
2008,9,Espagne,0.723
2008,9,Royaume-Uni,0.289
2008,9,Italie,0.241
2008,9,Allemagne,0.241
2008,9,États-Unis,0.193
2008,9,Belgique,0.145
2008,9,Pays-Bas,0.145
2008,9,Brésil,0.096
2008,9,Canada,0.096
2008,10,France,1.203
2008,10,Espagne,0.722
2008,10,Royaume-Uni,0.289
2008,10,Italie,0.241
2008,10,Allemagne,0.241
2008,10,États-Unis,0.193
2008,10,Belgique,0.144
2008,10,Pays-Bas,0.144
2008,10,Brésil,0.096
2008,10,Canada,0.096
2008,11,France,0.844
2008,11,Espagne,0.507
2008,11,Royaume-Uni,0.203
2008,11,Italie,0.169
2008,11,Allemagne,0.169
2008,11,États-Unis,0.135
2008,11,Belgique,0.101
2008,11,Pays-Bas,0.101
2008,11,Brésil,0.068
2008,11,Canada,0.068
2008,12,France,0.861
2008,12,Espagne,0.517
2008,12,Royaume-Uni,0.207
2008,12,Italie,0.172
2008,12,Allemagne,0.172
2008,12,États-Unis,0.138
2008,12,Belgique,0.103
2008,12,Pays-Bas,0.103
2008,12,Brésil,0.069
2008,12,Canada,0.069
2009,1,France,0.709
2009,1,Espagne,0.425
2009,1,Royaume-Uni,0.17
2009,1,Italie,0.142
2009,1,Allemagne,0.142
2009,1,États-Unis,0.113
2009,1,Belgique,0.085
2009,1,Pays-Bas,0.085
2009,1,Brésil,0.057
2009,1,Canada,0.057
