year,month,country,visitors
2001,9,Belgique,4745
2001,9,Pays-Bas,5983
2001,9,Brésil,3820
2001,9,Canada,3242
2001,10,France,40847
2001,10,Espagne,28422
2001,10,Royaume-Uni,8266
2001,10,Italie,9698
2001,10,Allemagne,7535
2001,10,États-Unis,7027
2001,10,Belgique,5200
2001,10,Pays-Bas,4969
2001,10,Brésil,3609
2001,10,Canada,3509
2001,11,France,36411
2001,11,Espagne,17729
2001,11,Royaume-Uni,6954
2001,11,Italie,5993
2001,11,Allemagne,7160
2001,11,États-Unis,6019
2001,11,Belgique,4138
2001,11,Pays-Bas,3155
2001,11,Brésil,2205
2001,11,Canada,2116
2001,12,France,37634
2001,12,Espagne,16011
2001,12,Royaume-Uni,7342
2001,12,Italie,6049
2001,12,Allemagne,5806
2001,12,États-Unis,4516
2001,12,Belgique,3483
2001,12,Pays-Bas,3203
2001,12,Brésil,2418
2001,12,Canada,2405
2002,1,France,24971
2002,1,Espagne,16099
2002,1,Royaume-Uni,6826
2002,1,Italie,5319
2002,1,Allemagne,6222
2002,1,États-Unis,4370
2002,1,Belgique,3969
2002,1,Pays-Bas,3114
2002,1,Brésil,2278
2002,1,Canada,2206
2002,2,France,22282
2002,2,Espagne,12458
2002,2,Royaume-Uni,6280
2002,2,Italie,4760
2002,2,Allemagne,5419
2002,2,États-Unis,3281
2002,2,Belgique,3341
2002,2,Pays-Bas,2879
2002,2,Brésil,1664
2002,2,Canada,2062
2002,3,France,33215
2002,3,Espagne,17805
2002,3,Royaume-Uni,8931
2002,3,Italie,5645
2002,3,Allemagne,6021
2002,3,États-Unis,5273
2002,3,Belgique,4411
2002,3,Pays-Bas,4500
2002,3,Brésil,3004
2002,3,Canada,2444
2002,4,France,36479
2002,4,Espagne,21133
2002,4,Royaume-Uni,9831
2002,4,Italie,7863
2002,4,Allemagne,7943
2002,4,États-Unis,5232
2002,4,Belgique,5486
2002,4,Pays-Bas,5168
2002,4,Brésil,3107
2002,4,Canada,2977
2002,5,France,43764
2002,5,Espagne,25559
2002,5,Royaume-Uni,9243
2002,5,Italie,8900
2002,5,Allemagne,7237
2002,5,États-Unis,5899
2002,5,Belgique,4121
2002,5,Pays-Bas,4973
2002,5,Brésil,2764
2002,5,Canada,2727
2002,6,France,34981
2002,6,Espagne,21470
2002,6,Royaume-Uni,8788
2002,6,Italie,6379
2002,6,Allemagne,7450
2002,6,États-Unis,5826
2002,6,Belgique,3889
2002,6,Pays-Bas,3935
2002,6,Brésil,2616
2002,6,Canada,2490
2002,7,France,56727
2002,7,Espagne,35219
2002,7,Royaume-Uni,15902
2002,7,Italie,13103
2002,7,Allemagne,13229
2002,7,États-Unis,8612
2002,7,Belgique,7970
2002,7,Pays-Bas,6109
2002,7,Brésil,3861
2002,7,Canada,3943
2002,8,France,66075
2002,8,Espagne,42626
2002,8,Royaume-Uni,14925
2002,8,Italie,15712
2002,8,Allemagne,15193
2002,8,États-Unis,12250
2002,8,Belgique,9240
2002,8,Pays-Bas,9253
2002,8,Brésil,5620
2002,8,Canada,5902
2002,9,France,52163
2002,9,Espagne,30345
2002,9,Royaume-Uni,10604
2002,9,Italie,8965
2002,9,Allemagne,8704
2002,9,États-Unis,7954
2002,9,Belgique,4940
2002,9,Pays-Bas,6174
2002,9,Brésil,3677
2002,9,Canada,4102
2002,10,France,46035
2002,10,Espagne,30049
2002,10,Royaume-Uni,8933
2002,10,Italie,10099
2002,10,Allemagne,8822
2002,10,États-Unis,7580
2002,10,Belgique,4342
2002,10,Pays-Bas,5522
2002,10,Brésil,3462
2002,10,Canada,3135
2002,11,France,30213
2002,11,Espagne,21494
2002,11,Royaume-Uni,7379
2002,11,Italie,5667
2002,11,Allemagne,6349
2002,11,États-Unis,5035
2002,11,Belgique,4019
2002,11,Pays-Bas,4820
2002,11,Brésil,3070
2002,11,Canada,2645
2002,12,France,28325
2002,12,Espagne,17171
2002,12,Royaume-Uni,8762
2002,12,Italie,5760
2002,12,Allemagne,5991
2002,12,États-Unis,6211
2002,12,Belgique,4274
2002,12,Pays-Bas,3533
2002,12,Brésil,2324
2002,12,Canada,2965
2003,1,France,31690
2003,1,Espagne,20851
2003,1,Royaume-Uni,8392
2003,1,Italie,6196
2003,1,Allemagne,5341
2003,1,États-Unis,5377
2003,1,Belgique,3148
2003,1,Pays-Bas,4158
2003,1,Brésil,2226
2003,1,Canada,2780
2003,2,France,29602
2003,2,Espagne,15857
2003,2,Royaume-Uni,6187
2003,2,Italie,5008
2003,2,Allemagne,6181
2003,2,États-Unis,3601
2003,2,Belgique,3173
2003,2,Pays-Bas,3258
2003,2,Brésil,1883
2003,2,Canada,2443
2003,3,France,35521
2003,3,Espagne,23835
2003,3,Royaume-Uni,7711
2003,3,Italie,7882
2003,3,Allemagne,8084
2003,3,États-Unis,6656
2003,3,Belgique,4420
2003,3,Pays-Bas,4032
2003,3,Brésil,3194
2003,3,Canada,3156
2003,4,France,38049
2003,4,Espagne,23243
2003,4,Royaume-Uni,10659
2003,4,Italie,7798
2003,4,Allemagne,6985
2003,4,États-Unis,5925
2003,4,Belgique,4547
2003,4,Pays-Bas,5748
2003,4,Brésil,3084
2003,4,Canada,3397
2003,5,France,40956
2003,5,Espagne,21566
2003,5,Royaume-Uni,10419
2003,5,Italie,7412
2003,5,Allemagne,9234
2003,5,États-Unis,6175
2003,5,Belgique,5190
2003,5,Pays-Bas,4926
2003,5,Brésil,3152
2003,5,Canada,3891
2003,6,France,36109
2003,6,Espagne,19564
2003,6,Royaume-Uni,8148
2003,6,Italie,8177
2003,6,Allemagne,7126
2003,6,États-Unis,4987
2003,6,Belgique,4769
2003,6,Pays-Bas,4814
2003,6,Brésil,2782
2003,6,Canada,2540
2003,7,France,61734
2003,7,Espagne,33762
2003,7,Royaume-Uni,12903
2003,7,Italie,13462
2003,7,Allemagne,13396
2003,7,États-Unis,10687
2003,7,Belgique,8012
2003,7,Pays-Bas,6501
2003,7,Brésil,4861
2003,7,Canada,5132
2003,8,France,62861
2003,8,Espagne,46618
2003,8,Royaume-Uni,20352
2003,8,Italie,15872
2003,8,Allemagne,15301
2003,8,États-Unis,12464
2003,8,Belgique,7526
2003,8,Pays-Bas,7744
2003,8,Brésil,5135
2003,8,Canada,6228
2003,9,France,51755
2003,9,Espagne,27522
2003,9,Royaume-Uni,12951
2003,9,Italie,11493
2003,9,Allemagne,10567
2003,9,États-Unis,9137
2003,9,Belgique,7435
2003,9,Pays-Bas,6844
2003,9,Brésil,3684
2003,9,Canada,4813
2003,10,France,50365
2003,10,Espagne,28342
2003,10,Royaume-Uni,11837
2003,10,Italie,7839
2003,10,Allemagne,10613
2003,10,États-Unis,8397
2003,10,Belgique,6693
2003,10,Pays-Bas,5027
2003,10,Brésil,4294
2003,10,Canada,4138
2003,11,France,37412
2003,11,Espagne,20094
2003,11,Royaume-Uni,9445
2003,11,Italie,6227
2003,11,Allemagne,7197
2003,11,États-Unis,4976
2003,11,Belgique,3966
2003,11,Pays-Bas,4426
2003,11,Brésil,3300
2003,11,Canada,2739
2003,12,France,35008
2003,12,Espagne,25341
2003,12,Royaume-Uni,10009
2003,12,Italie,8330
2003,12,Allemagne,8536
2003,12,États-Unis,5360
2003,12,Belgique,3961
2003,12,Pays-Bas,5167
2003,12,Brésil,3294
2003,12,Canada,2651
2004,1,France,34013
2004,1,Espagne,18334
2004,1,Royaume-Uni,7033
2004,1,Italie,7385
2004,1,Allemagne,7830
2004,1,États-Unis,4638
2004,1,Belgique,3851
2004,1,Pays-Bas,3526
2004,1,Brésil,3248
2004,1,Canada,3049
2004,2,France,25908
2004,2,Espagne,18109
2004,2,Royaume-Uni,7327
2004,2,Italie,5473
2004,2,Allemagne,5227
2004,2,États-Unis,3913
2004,2,Belgique,3232
2004,2,Pays-Bas,3286
2004,2,Brésil,2620
2004,2,Canada,2679
2004,3,France,44667
2004,3,Espagne,25204
2004,3,Royaume-Uni,9338
2004,3,Italie,6846
2004,3,Allemagne,7851
2004,3,États-Unis,5661
2004,3,Belgique,4185
2004,3,Pays-Bas,5086
2004,3,Brésil,3100
2004,3,Canada,3578
2004,4,France,41044
2004,4,Espagne,31790
2004,4,Royaume-Uni,11442
2004,4,Italie,8308
2004,4,Allemagne,10598
2004,4,États-Unis,8649
2004,4,Belgique,4882
2004,4,Pays-Bas,6454
2004,4,Brésil,3723
2004,4,Canada,3801
2004,5,France,52637
2004,5,Espagne,25791
2004,5,Royaume-Uni,10452
2004,5,Italie,10343
2004,5,Allemagne,10051
2004,5,États-Unis,6287
2004,5,Belgique,5626
2004,5,Pays-Bas,5244
2004,5,Brésil,4308
2004,5,Canada,3299
2004,6,France,45896
2004,6,Espagne,20354
2004,6,Royaume-Uni,8317
2004,6,Italie,7298
2004,6,Allemagne,9310
2004,6,États-Unis,6856
2004,6,Belgique,5460
2004,6,Pays-Bas,5339
2004,6,Brésil,3524
2004,6,Canada,3549
2004,7,France,72071
2004,7,Espagne,35340
2004,7,Royaume-Uni,16877
2004,7,Italie,12089
2004,7,Allemagne,13198
2004,7,États-Unis,9720
2004,7,Belgique,8698
2004,7,Pays-Bas,9530
2004,7,Brésil,5294
2004,7,Canada,4821
2004,8,France,71781
2004,8,Espagne,39625
2004,8,Royaume-Uni,19887
2004,8,Italie,13447
2004,8,Allemagne,15061
2004,8,États-Unis,12860
2004,8,Belgique,11303
2004,8,Pays-Bas,8230
2004,8,Brésil,5892
2004,8,Canada,6334
2004,9,France,59679
2004,9,Espagne,35944
2004,9,Royaume-Uni,14643
2004,9,Italie,12625
2004,9,Allemagne,11264
2004,9,États-Unis,10774
2004,9,Belgique,6295
2004,9,Pays-Bas,6823
2004,9,Brésil,3896
2004,9,Canada,4095
2004,10,France,47228
2004,10,Espagne,28217
2004,10,Royaume-Uni,11252
2004,10,Italie,9443
2004,10,Allemagne,11236
2004,10,États-Unis,8451
2004,10,Belgique,6887
2004,10,Pays-Bas,7099
2004,10,Brésil,4602
2004,10,Canada,4492
2004,11,France,44110
2004,11,Espagne,26002
2004,11,Royaume-Uni,9161
2004,11,Italie,7835
2004,11,Allemagne,6937
2004,11,États-Unis,6341
2004,11,Belgique,5417
2004,11,Pays-Bas,4148
2004,11,Brésil,2894
2004,11,Canada,3255
2004,12,France,46094
2004,12,Espagne,24895
2004,12,Royaume-Uni,10867
2004,12,Italie,6976
2004,12,Allemagne,7511
2004,12,États-Unis,6534
2004,12,Belgique,5653
2004,12,Pays-Bas,4663
2004,12,Brésil,2889
2004,12,Canada,3443
2005,1,France,38772
2005,1,Espagne,27324
2005,1,Royaume-Uni,8524
2005,1,Italie,9412
2005,1,Allemagne,8747
2005,1,États-Unis,7369
2005,1,Belgique,4128
2005,1,Pays-Bas,4888
2005,1,Brésil,2746
2005,1,Canada,3139
2005,2,France,29399
2005,2,Espagne,20724
2005,2,Royaume-Uni,9516
2005,2,Italie,7958
2005,2,Allemagne,6915
2005,2,États-Unis,4633
2005,2,Belgique,4326
2005,2,Pays-Bas,3733
2005,2,Brésil,2932
2005,2,Canada,2807
2005,3,France,48698
2005,3,Espagne,24694
2005,3,Royaume-Uni,10937
2005,3,Italie,8424
2005,3,Allemagne,11058
2005,3,États-Unis,8409
2005,3,Belgique,5155
2005,3,Pays-Bas,4766
2005,3,Brésil,4315
2005,3,Canada,4198
2005,4,France,51743
2005,4,Espagne,30438
2005,4,Royaume-Uni,12912
2005,4,Italie,12042
2005,4,Allemagne,12482
2005,4,États-Unis,8792
2005,4,Belgique,6718
2005,4,Pays-Bas,6781
2005,4,Brésil,4475
2005,4,Canada,4380
2005,5,France,48796
2005,5,Espagne,34975
2005,5,Royaume-Uni,12673
2005,5,Italie,10613
2005,5,Allemagne,11510
2005,5,États-Unis,7621
2005,5,Belgique,6991
2005,5,Pays-Bas,5429
2005,5,Brésil,4068
2005,5,Canada,4539
2005,6,France,48546
2005,6,Espagne,25791
2005,6,Royaume-Uni,9522
2005,6,Italie,10009
2005,6,Allemagne,7894
2005,6,États-Unis,7094
2005,6,Belgique,6221
2005,6,Pays-Bas,4780
2005,6,Brésil,3542
2005,6,Canada,4291
2005,7,France,89928
2005,7,Espagne,43460
2005,7,Royaume-Uni,20995
2005,7,Italie,14028
2005,7,Allemagne,19311
2005,7,États-Unis,13963
2005,7,Belgique,11332
2005,7,Pays-Bas,10238
2005,7,Brésil,6919
2005,7,Canada,6667
2005,8,France,88974
2005,8,Espagne,65442
2005,8,Royaume-Uni,25879
2005,8,Italie,21205
2005,8,Allemagne,18307
2005,8,États-Unis,13119
2005,8,Belgique,11243
2005,8,Pays-Bas,11092
2005,8,Brésil,8421
2005,8,Canada,8460
2005,9,France,76751
2005,9,Espagne,44696
2005,9,Royaume-Uni,15990
2005,9,Italie,15464
2005,9,Allemagne,15999
2005,9,États-Unis,9678
2005,9,Belgique,8855
2005,9,Pays-Bas,6881
2005,9,Brésil,5728
2005,9,Canada,5339
2005,10,France,71069
2005,10,Espagne,34910
2005,10,Royaume-Uni,13031
2005,10,Italie,11408
2005,10,Allemagne,12016
2005,10,États-Unis,9106
2005,10,Belgique,6104
2005,10,Pays-Bas,7194
2005,10,Brésil,5569
2005,10,Canada,4924
2005,11,France,54544
2005,11,Espagne,32775
2005,11,Royaume-Uni,13353
2005,11,Italie,9291
2005,11,Allemagne,10752
2005,11,États-Unis,8924
2005,11,Belgique,5381
2005,11,Pays-Bas,6557
2005,11,Brésil,3510
2005,11,Canada,3152
2005,12,France,40886
2005,12,Espagne,30205
2005,12,Royaume-Uni,12064
2005,12,Italie,10238
2005,12,Allemagne,8854
2005,12,États-Unis,7890
2005,12,Belgique,6190
2005,12,Pays-Bas,4992
2005,12,Brésil,4380
2005,12,Canada,4382
2006,1,France,43318
2006,1,Espagne,23710
2006,1,Royaume-Uni,9774
2006,1,Italie,9992
2006,1,Allemagne,10441
2006,1,États-Unis,6520
2006,1,Belgique,5067
2006,1,Pays-Bas,4552
2006,1,Brésil,4017
2006,1,Canada,3913
2006,2,France,35587
2006,2,Espagne,26553
2006,2,Royaume-Uni,10434
2006,2,Italie,7407
2006,2,Allemagne,7157
2006,2,États-Unis,6121
2006,2,Belgique,4089
2006,2,Pays-Bas,5131
2006,2,Brésil,3403
2006,2,Canada,3049
2006,3,France,46159
2006,3,Espagne,35807
2006,3,Royaume-Uni,12636
2006,3,Italie,11338
2006,3,Allemagne,9912
2006,3,États-Unis,8498
2006,3,Belgique,7373
2006,3,Pays-Bas,6966
2006,3,Brésil,3734
2006,3,Canada,4964
2006,4,France,71099
2006,4,Espagne,38447
2006,4,Royaume-Uni,14172
2006,4,Italie,12389
2006,4,Allemagne,10209
2006,4,États-Unis,10801
2006,4,Belgique,6234
2006,4,Pays-Bas,8251
2006,4,Brésil,4579
2006,4,Canada,5532
2006,5,France,62473
2006,5,Espagne,34445
2006,5,Royaume-Uni,12715
2006,5,Italie,10361
2006,5,Allemagne,12641
2006,5,États-Unis,8968
2006,5,Belgique,7874
2006,5,Pays-Bas,8311
2006,5,Brésil,5077
2006,5,Canada,4760
2006,6,France,43638
2006,6,Espagne,29109
2006,6,Royaume-Uni,11668
2006,6,Italie,11417
2006,6,Allemagne,9964
2006,6,États-Unis,8497
2006,6,Belgique,7240
2006,6,Pays-Bas,6873
2006,6,Brésil,4877
2006,6,Canada,3615
2006,7,France,87251
2006,7,Espagne,59702
2006,7,Royaume-Uni,25444
2006,7,Italie,17835
2006,7,Allemagne,20247
2006,7,États-Unis,14646
2006,7,Belgique,12162
2006,7,Pays-Bas,10451
2006,7,Brésil,6407
2006,7,Canada,8399
2006,8,France,88913
2006,8,Espagne,53983
2006,8,Royaume-Uni,27366
2006,8,Italie,23276
2006,8,Allemagne,22805
2006,8,États-Unis,15846
2006,8,Belgique,11123
2006,8,Pays-Bas,14493
2006,8,Brésil,8488
2006,8,Canada,8892
2006,9,France,84611
2006,9,Espagne,39420
2006,9,Royaume-Uni,21137
2006,9,Italie,16543
2006,9,Allemagne,14413
2006,9,États-Unis,11061
2006,9,Belgique,10634
2006,9,Pays-Bas,10410
2006,9,Brésil,6207
2006,9,Canada,6759
2006,10,France,67709
2006,10,Espagne,43573
2006,10,Royaume-Uni,13734
2006,10,Italie,15711
2006,10,Allemagne,13353
2006,10,États-Unis,12121
2006,10,Belgique,9431
2006,10,Pays-Bas,9125
2006,10,Brésil,4872
2006,10,Canada,4707
2006,11,France,55250
2006,11,Espagne,29576
2006,11,Royaume-Uni,14019
2006,11,Italie,9000
2006,11,Allemagne,9572
2006,11,États-Unis,7966
2006,11,Belgique,5578
2006,11,Pays-Bas,5703
2006,11,Brésil,3795
2006,11,Canada,4425
2006,12,France,58605
2006,12,Espagne,33919
2006,12,Royaume-Uni,13234
2006,12,Italie,12268
2006,12,Allemagne,9032
2006,12,États-Unis,7737
2006,12,Belgique,5625
2006,12,Pays-Bas,5920
2006,12,Brésil,3743
2006,12,Canada,3780
2007,1,France,46642
2007,1,Espagne,25462
2007,1,Royaume-Uni,13483
2007,1,Italie,10144
2007,1,Allemagne,10272
2007,1,États-Unis,8779
2007,1,Belgique,6565
2007,1,Pays-Bas,6228
2007,1,Brésil,4093
2007,1,Canada,3616
2007,2,France,45546
2007,2,Espagne,27208
2007,2,Royaume-Uni,9890
2007,2,Italie,8649
2007,2,Allemagne,9098
2007,2,États-Unis,7760
2007,2,Belgique,4419
2007,2,Pays-Bas,5613
2007,2,Brésil,3630
2007,2,Canada,3262
2007,3,France,52711
2007,3,Espagne,37087
2007,3,Royaume-Uni,15711
2007,3,Italie,12193
2007,3,Allemagne,12707
2007,3,États-Unis,7927
2007,3,Belgique,7821
2007,3,Pays-Bas,6759
2007,3,Brésil,3999
2007,3,Canada,4943
2007,4,France,61842
2007,4,Espagne,33360
2007,4,Royaume-Uni,17940
2007,4,Italie,12970
2007,4,Allemagne,15738
2007,4,États-Unis,9768
2007,4,Belgique,9150
2007,4,Pays-Bas,7458
2007,4,Brésil,5600
2007,4,Canada,5183
2007,5,France,77989
2007,5,Espagne,43502
2007,5,Royaume-Uni,15409
2007,5,Italie,13087
2007,5,Allemagne,15309
2007,5,États-Unis,10982
2007,5,Belgique,8859
2007,5,Pays-Bas,7034
2007,5,Brésil,6280
2007,5,Canada,5806
2007,6,France,56736
2007,6,Espagne,33940
2007,6,Royaume-Uni,12413
2007,6,Italie,11421
2007,6,Allemagne,12370
2007,6,États-Unis,10751
2007,6,Belgique,7424
2007,6,Pays-Bas,8045
2007,6,Brésil,4138
2007,6,Canada,4024
2007,7,France,99104
2007,7,Espagne,60954
2007,7,Royaume-Uni,24886
2007,7,Italie,18656
2007,7,Allemagne,17375
2007,7,États-Unis,18421
2007,7,Belgique,12724
2007,7,Pays-Bas,11425
2007,7,Brésil,8863
2007,7,Canada,8057
2007,8,France,103747
2007,8,Espagne,79420
2007,8,Royaume-Uni,24700
2007,8,Italie,20825
2007,8,Allemagne,24930
2007,8,États-Unis,16665
2007,8,Belgique,16309
2007,8,Pays-Bas,13762
2007,8,Brésil,8364
2007,8,Canada,9811
2007,9,France,85594
2007,9,Espagne,45457
2007,9,Royaume-Uni,19780
2007,9,Italie,17719
2007,9,Allemagne,16881
2007,9,États-Unis,15778
2007,9,Belgique,8636
2007,9,Pays-Bas,11840
2007,9,Brésil,6906
2007,9,Canada,7792
2007,10,France,70592
2007,10,Espagne,38970
2007,10,Royaume-Uni,20033
2007,10,Italie,17192
2007,10,Allemagne,14976
2007,10,États-Unis,10333
2007,10,Belgique,10115
2007,10,Pays-Bas,9504
2007,10,Brésil,6341
2007,10,Canada,5189
2007,11,France,54755
2007,11,Espagne,30327
2007,11,Royaume-Uni,12896
2007,11,Italie,11600
2007,11,Allemagne,13120
2007,11,États-Unis,8400
2007,11,Belgique,7372
2007,11,Pays-Bas,7321
2007,11,Brésil,4879
2007,11,Canada,4956
2007,12,France,49542
2007,12,Espagne,36930
2007,12,Royaume-Uni,14717
2007,12,Italie,10713
2007,12,Allemagne,12157
2007,12,États-Unis,8037
2007,12,Belgique,7436
2007,12,Pays-Bas,7646
2007,12,Brésil,3929
2007,12,Canada,4357
2008,1,France,60757
2008,1,Espagne,30749
2008,1,Royaume-Uni,12443
2008,1,Italie,11190
2008,1,Allemagne,11097
2008,1,États-Unis,7464
2008,1,Belgique,7290
2008,1,Pays-Bas,6536
2008,1,Brésil,3793
2008,1,Canada,4184
2008,2,France,46825
2008,2,Espagne,27676
2008,2,Royaume-Uni,10730
2008,2,Italie,9739
2008,2,Allemagne,10576
2008,2,États-Unis,6900
2008,2,Belgique,4569
2008,2,Pays-Bas,5774
2008,2,Brésil,3277
2008,2,Canada,3814
2008,3,France,72140
2008,3,Espagne,32113
2008,3,Royaume-Uni,15294
2008,3,Italie,12616
2008,3,Allemagne,14673
2008,3,États-Unis,11040
2008,3,Belgique,8882
2008,3,Pays-Bas,7454
2008,3,Brésil,4375
2008,3,Canada,5790
2008,4,France,71760
2008,4,Espagne,46186
2008,4,Royaume-Uni,16127
2008,4,Italie,16292
2008,4,Allemagne,13517
2008,4,États-Unis,11628
2008,4,Belgique,7987
2008,4,Pays-Bas,9105
2008,4,Brésil,5378
2008,4,Canada,6574
2008,5,France,71213
2008,5,Espagne,40961
2008,5,Royaume-Uni,16500
2008,5,Italie,12751
2008,5,Allemagne,16992
2008,5,États-Unis,9966
2008,5,Belgique,10096
2008,5,Pays-Bas,8876
2008,5,Brésil,5575
2008,5,Canada,6071
2008,6,France,65226
2008,6,Espagne,43835
2008,6,Royaume-Uni,14149
2008,6,Italie,12579
2008,6,Allemagne,12939
2008,6,États-Unis,10664
2008,6,Belgique,7716
2008,6,Pays-Bas,8248
2008,6,Brésil,4447
2008,6,Canada,5602
2008,7,France,91012
2008,7,Espagne,67488
2008,7,Royaume-Uni,26902
2008,7,Italie,25116
2008,7,Allemagne,18106
2008,7,États-Unis,16387
2008,7,Belgique,10862
2008,7,Pays-Bas,12252
2008,7,Brésil,8156
2008,7,Canada,9042
2008,8,France,126906
2008,8,Espagne,76888
2008,8,Royaume-Uni,25724
2008,8,Italie,24264
2008,8,Allemagne,23739
2008,8,États-Unis,23333
2008,8,Belgique,13981
2008,8,Pays-Bas,14097
2008,8,Brésil,8475
2008,8,Canada,10527
2008,9,France,99590
2008,9,Espagne,46232
2008,9,Royaume-Uni,21780
2008,9,Italie,15394
2008,9,Allemagne,19680
2008,9,États-Unis,12038
2008,9,Belgique,9423
2008,9,Pays-Bas,9229
2008,9,Brésil,6406
2008,9,Canada,7927
2008,10,France,76346
2008,10,Espagne,43584
2008,10,Royaume-Uni,21703
2008,10,Italie,18449
2008,10,Allemagne,18907
2008,10,États-Unis,13026
2008,10,Belgique,11070
2008,10,Pays-Bas,8433
2008,10,Brésil,6076
2008,10,Canada,5867
2008,11,France,59794
2008,11,Espagne,34278
2008,11,Royaume-Uni,13405
2008,11,Italie,13631
2008,11,Allemagne,12616
2008,11,États-Unis,9811
2008,11,Belgique,6378
2008,11,Pays-Bas,6510
2008,11,Brésil,5026
2008,11,Canada,5081
2008,12,France,60209
2008,12,Espagne,40019
2008,12,Royaume-Uni,12696
2008,12,Italie,11740
2008,12,Allemagne,11188
2008,12,États-Unis,10555
2008,12,Belgique,6764
2008,12,Pays-Bas,7572
2008,12,Brésil,5269
2008,12,Canada,5689
2009,1,France,53178
2009,1,Espagne,29648
2009,1,Royaume-Uni,14046
2009,1,Italie,8723
2009,1,Allemagne,9239
2009,1,États-Unis,7846
2009,1,Belgique,5968
2009,1,Pays-Bas,5334
2009,1,Brésil,4169
2009,1,Canada,3493
2009,2,France,36644
2009,2,Espagne,27565
2009,2,Royaume-Uni,11835
2009,2,Italie,7704
2009,2,Allemagne,9656
2009,2,États-Unis,6401
2009,2,Belgique,5321
2009,2,Pays-Bas,5806
2009,2,Brésil,4141
2009,2,Canada,3908
2009,3,France,58941
2009,3,Espagne,33604
2009,3,Royaume-Uni,14446
2009,3,Italie,14359
2009,3,Allemagne,11238
2009,3,États-Unis,10985
2009,3,Belgique,7515
2009,3,Pays-Bas,7245
2009,3,Brésil,5237
2009,3,Canada,5139
2009,4,France,59605
2009,4,Espagne,35943
2009,4,Royaume-Uni,19196
2009,4,Italie,12177
2009,4,Allemagne,16000
2009,4,États-Unis,9538
2009,4,Belgique,8370
2009,4,Pays-Bas,9226
2009,4,Brésil,6573
2009,4,Canada,5697
2009,5,France,78164
2009,5,Espagne,35178
2009,5,Royaume-Uni,15636
2009,5,Italie,14864
2009,5,Allemagne,15470
2009,5,États-Unis,11281
2009,5,Belgique,8055
2009,5,Pays-Bas,7359
2009,5,Brésil,6425
2009,5,Canada,5744
2009,6,France,58972
2009,6,Espagne,42266
2009,6,Royaume-Uni,12603
2009,6,Italie,11061
2009,6,Allemagne,11450
2009,6,États-Unis,11002
2009,6,Belgique,6286
2009,6,Pays-Bas,6701
2009,6,Brésil,4677
2009,6,Canada,5558
2009,7,France,96982
2009,7,Espagne,66650
2009,7,Royaume-Uni,22387
2009,7,Italie,19224
2009,7,Allemagne,17377
2009,7,États-Unis,19830
2009,7,Belgique,11344
2009,7,Pays-Bas,12151
2009,7,Brésil,7104
2009,7,Canada,9442
2009,8,France,136471
2009,8,Espagne,82428
2009,8,Royaume-Uni,29746
2009,8,Italie,28108
2009,8,Allemagne,28782
2009,8,États-Unis,21319
2009,8,Belgique,15404
2009,8,Pays-Bas,12560
2009,8,Brésil,11006
2009,8,Canada,11103
2009,9,France,97665
2009,9,Espagne,43757
2009,9,Royaume-Uni,21500
