year,region,total_arrivals,hotels,rooms,revenue_mad_millions
2005,Fès-Meknès,498200,574,16867,4328939.288
2005,Rabat-Salé-Kénitra,348740,359,11842,2901071.192
2005,Oriental,199280,199,6186,1731899.131
2005,Dakhla-Oued Ed-Dahab,149460,94,3139,1294658.787
2005,Drâa-Tafilalet,99640,122,3324,799850.02
2005,Laâyoune-Sakia El Hamra,49820,52,1416,454187.528
2005,Guelmim-Oued Noun,49820,40,1040,444941.524
2006,Marrakech-Safi,1538880,1167,44755,12389638.748
2006,Casablanca-Settat,989280,920,29593,7899711.265
2006,Tanger-Tétouan-Al Hoceima,769440,761,22746,6959748.501
2006,Souss-Massa,659520,535,18244,5681988.109
2006,Fès-Meknès,549600,582,17169,4752921.363
2006,Rabat-Salé-Kénitra,384720,378,12518,3307795.425
2006,Oriental,219840,211,6608,1995550.3
2006,Dakhla-Oued Ed-Dahab,164880,97,3258,1449747.595
2006,Drâa-Tafilalet,109920,139,3778,980467.335
2006,Laâyoune-Sakia El Hamra,54960,51,1393,481935.462
2006,Guelmim-Oued Noun,54960,37,968,446795.487
2007,Marrakech-Safi,1713040,1362,52428,15805273.212
2007,Casablanca-Settat,1101240,1026,33155,9638103.861
2007,Tanger-Tétouan-Al Hoceima,856520,667,20011,6667562.311
2007,Souss-Massa,734160,499,17093,5797119.684
2007,Fès-Meknès,611800,607,17965,5415884.982
2007,Rabat-Salé-Kénitra,428260,407,13506,3886461.321
2007,Oriental,244720,198,6199,2038770.669
2007,Dakhla-Oued Ed-Dahab,183540,97,3289,1593643.384
2007,Drâa-Tafilalet,122360,131,3576,1010531.371
2007,Laâyoune-Sakia El Hamra,61180,49,1352,509440.019
2007,Guelmim-Oued Noun,61180,41,1094,549895.61
2008,Marrakech-Safi,1856120,1364,52713,16852231.551
2008,Casablanca-Settat,1193220,1043,33807,10421852.019
2008,Tanger-Tétouan-Al Hoceima,928060,734,22108,7811940.958
2008,Souss-Massa,795480,594,20421,7344601.043
2008,Fès-Meknès,662900,537,15969,5105238.658
2008,Rabat-Salé-Kénitra,464030,394,13123,4004560.721
2008,Oriental,265160,204,6409,2235257.646
2008,Dakhla-Oued Ed-Dahab,198870,94,3189,1638600.672
2008,Drâa-Tafilalet,132580,129,3556,1065647.267
2008,Laâyoune-Sakia El Hamra,66290,53,1445,577551.743
2008,Guelmim-Oued Noun,66290,37,981,522885.694
2009,Marrakech-Safi,1790880,1382,53624,16196323.037
2009,Casablanca-Settat,1151280,1124,36589,10656549.049
2009,Tanger-Tétouan-Al Hoceima,895440,723,21873,7301646.203
2009,Souss-Massa,767520,589,20325,6906044.907
2009,Fès-Meknès,639600,564,16833,5083997.841
2009,Rabat-Salé-Kénitra,447720,374,12525,3611039.6
2009,Oriental,255840,210,6629,2184224.707
2009,Dakhla-Oued Ed-Dahab,191880,94,3204,1555278.421
2009,Drâa-Tafilalet,127920,131,3620,1024905.978
2009,Laâyoune-Sakia El Hamra,63960,50,1377,519841.397
2009,Guelmim-Oued Noun,63960,43,1155,581583.663
2010,Marrakech-Safi,2066960,1417,55153,18833521.829
2010,Casablanca-Settat,1328760,1147,37475,12339929.927
2010,Tanger-Tétouan-Al Hoceima,1033480,807,24493,9244306.315
2010,Souss-Massa,885840,543,18785,7216644.833
2010,Fès-Meknès,738200,654,19588,6689057.252
2010,Rabat-Salé-Kénitra,516740,418,14043,4577561.792
2010,Oriental,295280,209,6637,2472296.048
2010,Dakhla-Oued Ed-Dahab,221460,98,3347,1836878.984
2010,Drâa-Tafilalet,147640,142,3935,1259628.466
2010,Laâyoune-Sakia El Hamra,73820,49,1350,576193.528
2010,Guelmim-Oued Noun,73820,43,1138,647642.3
2011,Marrakech-Safi,2180360,1442,56337,19887467.967
2011,Casablanca-Settat,1401660,1174,38463,13093067.351
2011,Tanger-Tétouan-Al Hoceima,1090180,822,25026,9764281.952
2011,Souss-Massa,934440,566,19644,7801244.599
2011,Fès-Meknès,778700,667,20044,7075814.995
2011,Rabat-Salé-Kénitra,545090,373,12587,4241472.146
2011,Oriental,311480,225,7158,2756535.265
2011,Dakhla-Oued Ed-Dahab,233610,108,3704,2101677.357
2011,Drâa-Tafilalet,155740,151,4191,1387012.732
2011,Laâyoune-Sakia El Hamra,77870,50,1382,609824.231
2011,Guelmim-Oued Noun,77870,43,1158,681507.45
2012,Marrakech-Safi,2325960,1256,49242,18180096.367
2012,Casablanca-Settat,1495260,1135,37315,13284800.578
2012,Tanger-Tétouan-Al Hoceima,1162980,844,25771,10516241.841
2012,Souss-Massa,996840,625,21772,9043003.574
2012,Fès-Meknès,830700,632,19038,7028775.595
2012,Rabat-Salé-Kénitra,581490,450,15228,5366592.159
2012,Oriental,332280,222,7103,2860772.807
2012,Dakhla-Oued Ed-Dahab,249210,107,3697,2193729.157
2012,Drâa-Tafilalet,166140,132,3678,1273027.861
2012,Laâyoune-Sakia El Hamra,83070,58,1620,747467.609
2012,Guelmim-Oued Noun,83070,42,1129,694847.163
2013,Marrakech-Safi,2486960,1443,56741,21968039.808
2013,Casablanca-Settat,1598760,1152,37993,14184051.81
2013,Tanger-Tétouan-Al Hoceima,1243480,848,25998,11124920.214
2013,Souss-Massa,1065840,623,21774,9484078.157
2013,Fès-Meknès,888200,634,19188,7428801.609
2013,Rabat-Salé-Kénitra,621740,388,13147,4858683.695
2013,Oriental,355280,206,6605,2789543.535
2013,Dakhla-Oued Ed-Dahab,266460,104,3592,2235344.937
2013,Drâa-Tafilalet,177640,159,4436,1609938.434
2013,Laâyoune-Sakia El Hamra,88820,57,1602,775070.062
2013,Guelmim-Oued Noun,88820,40,1082,697961.358
2014,Marrakech-Safi,2598400,1511,59595,23652235.646
2014,Casablanca-Settat,1670400,1094,36189,13849819.219
2014,Tanger-Tétouan-Al Hoceima,1299200,822,25259,11079943.03
2014,Souss-Massa,1113600,572,20052,8953182.303
2014,Fès-Meknès,928000,623,18899,7500517.015
2014,Rabat-Salé-Kénitra,649600,454,15451,5853607.321
2014,Oriental,371200,229,7349,3182031.1
2014,Dakhla-Oued Ed-Dahab,278400,105,3624,2311780.413
2014,Drâa-Tafilalet,185600,163,4582,1704918.516
2014,Laâyoune-Sakia El Hamra,92800,59,1653,820119.677
2014,Guelmim-Oued Noun,92800,41,1121,741638.772
2015,Marrakech-Safi,2869440,1292,51089,21976574.722
2015,Casablanca-Settat,1844640,1165,38645,16029998.749
2015,Tanger-Tétouan-Al Hoceima,1434720,896,27620,13131943.061
2015,Souss-Massa,1229760,603,21182,10250796.637
2015,Fès-Meknès,1024800,706,21477,9238430.882
2015,Rabat-Salé-Kénitra,717360,478,16314,6698843.903
2015,Oriental,409920,235,7588,3560737.851
2015,Dakhla-Oued Ed-Dahab,307440,99,3443,2380035.667
2015,Drâa-Tafilalet,204960,159,4460,1798796.209
2015,Laâyoune-Sakia El Hamra,102480,58,1621,871681.698
2015,Guelmim-Oued Noun,102480,48,1295,928613.717
2016,Marrakech-Safi,2918440,1403,55640,23900352.408
2016,Casablanca-Settat,1876140,1088,36198,14993542.527
2016,Tanger-Tétouan-Al Hoceima,1459220,888,27453,13033654.362
2016,Souss-Massa,1250760,646,22767,11001951.027
2016,Fès-Meknès,1042300,666,20319,8728104.846
2016,Rabat-Salé-Kénitra,729610,404,13810,5662454.721
2016,Oriental,416920,255,8255,3868396.404
2016,Dakhla-Oued Ed-Dahab,312690,100,3501,2417203.827
2016,Drâa-Tafilalet,208460,162,4563,1837726.968
2016,Laâyoune-Sakia El Hamra,104230,54,1531,821885.906
2016,Guelmim-Oued Noun,104230,47,1269,908510.091
2017,Marrakech-Safi,3059280,1477,58739,25977093.98
2017,Casablanca-Settat,1966680,1127,37611,16039219.792
2017,Tanger-Tétouan-Al Hoceima,1529640,854,26470,12938335.949
2017,Souss-Massa,1311120,594,21012,10453753.592
2017,Fès-Meknès,1092600,623,19072,8434279.252
2017,Rabat-Salé-Kénitra,764820,417,14306,6039196.686
2017,Oriental,437040,247,8004,3861351.263
2017,Dakhla-Oued Ed-Dahab,327780,115,4031,2864855.199
2017,Drâa-Tafilalet,218520,162,4588,1902374.522
2017,Laâyoune-Sakia El Hamra,109260,57,1602,885574.492
2017,Guelmim-Oued Noun,109260,42,1137,838250.899
2018,Marrakech-Safi,3177720,1379,54991,24817556.146
2018,Casablanca-Settat,2042820,1112,37213,16194795.561
2018,Tanger-Tétouan-Al Hoceima,1588860,817,25398,12668736.651
2018,Souss-Massa,1361880,703,24903,12643622.246
2018,Fès-Meknès,1134900,709,21755,9818024.165
2018,Rabat-Salé-Kénitra,794430,457,15739,6780292.495
2018,Oriental,453960,232,7526,3705505.058
2018,Dakhla-Oued Ed-Dahab,340470,120,4192,3040198.085
2018,Drâa-Tafilalet,226980,169,4781,2023027.979
2018,Laâyoune-Sakia El Hamra,113490,66,1879,1059791.198
2018,Guelmim-Oued Noun,113490,45,1228,923904.649
2019,Marrakech-Safi,3633000,1666,66610,33775966.03
2019,Casablanca-Settat,2335500,1225,41094,20093527.284
2019,Tanger-Tétouan-Al Hoceima,1816500,827,25766,14440161.468
2019,Souss-Massa,1557000,628,22327,12736411.779
2019,Fès-Meknès,1297500,677,20827,10560477.86
2019,Rabat-Salé-Kénitra,908250,479,16525,7998376.25
2019,Oriental,519000,228,7443,4117309.28
2019,Dakhla-Oued Ed-Dahab,389250,111,3895,3173925.904
2019,Drâa-Tafilalet,259500,171,4871,2315605.105
2019,Laâyoune-Sakia El Hamra,129750,62,1761,1116162.063
2019,Guelmim-Oued Noun,129750,47,1298,1097289.669
2020,Marrakech-Safi,777785,1465,58710,6265455.274
2020,Casablanca-Settat,500004,1316,44249,4553465.814
2020,Tanger-Tétouan-Al Hoceima,388892,905,28289,3336682.436
2020,Souss-Massa,333336,596,21248,2551031.954
2020,Fès-Meknès,277780,652,20095,2144465.274
2020,Rabat-Salé-Kénitra,194446,484,16745,1705737.031
2020,Oriental,111112,255,8333,970097.8
2020,Dakhla-Oued Ed-Dahab,83334,127,4464,765555.3
2020,Drâa-Tafilalet,55556,166,4728,473014.796
2020,Laâyoune-Sakia El Hamra,27778,66,1873,249860.179
2020,Guelmim-Oued Noun,27778,44,1205,214364.838
2021,Marrakech-Safi,1195040,1657,66560,10731897.523
2021,Casablanca-Settat,768240,1184,39897,6203039.796
2021,Tanger-Tétouan-Al Hoceima,597520,865,27099,4829232.49
2021,Souss-Massa,512160,663,23672,4293899.329
2021,Fès-Meknès,426800,698,21561,3476387.122
2021,Rabat-Salé-Kénitra,298760,442,15307,2355884.761
2021,Oriental,170720,233,7612,1338888.932
2021,Dakhla-Oued Ed-Dahab,128040,111,3924,1016898.151
2021,Drâa-Tafilalet,85360,158,4526,684166.74
2021,Laâyoune-Sakia El Hamra,42680,66,1896,382169.591
2021,Guelmim-Oued Noun,42680,52,1424,382768.293
2022,Marrakech-Safi,3047800,1718,69191,27985597.39
2022,Casablanca-Settat,1959300,1295,43770,17071292.459
2022,Tanger-Tétouan-Al Hoceima,1523900,857,26905,12027673.248
2022,Souss-Massa,1306200,626,22397,10191397.345
2022,Fès-Meknès,1088500,682,21142,8551228.264
2022,Rabat-Salé-Kénitra,761950,498,17292,6676107.254
2022,Oriental,435400,248,8143,3592999.927
2022,Dakhla-Oued Ed-Dahab,326550,115,4059,2638742.475
2022,Drâa-Tafilalet,217700,161,4621,1752326.22
2022,Laâyoune-Sakia El Hamra,108850,63,1815,917811.19
2022,Guelmim-Oued Noun,108850,54,1484,1000401.56
2023,Marrakech-Safi,4065600,1722,69521,36904516.566
2023,Casablanca-Settat,2613600,1263,42765,21890402.51
2023,Tanger-Tétouan-Al Hoceima,2032800,876,27573,16177815.089
2023,Souss-Massa,1742400,678,24333,14531522.494
2023,Fès-Meknès,1452000,767,23809,12638679.952
2023,Rabat-Salé-Kénitra,1016400,532,18533,9390857.786
2023,Oriental,580800,246,8077,4677576.675
2023,Dakhla-Oued Ed-Dahab,435600,113,3995,3408637.409
2023,Drâa-Tafilalet,290400,183,5252,2613780.749
2023,Laâyoune-Sakia El Hamra,145200,70,2003,1329205.243
2023,Guelmim-Oued Noun,145200,55,1524,1348684.171
2024,Marrakech-Safi,4875360,1509,61061,38252343.183
2024,Casablanca-Settat,3134160,1245,42270,25535140.615
2024,Tanger-Tétouan-Al Hoceima,2437680,927,29226,20236020.9
2024,Souss-Massa,2089440,634,22811,16076748.943
2024,Fès-Meknès,1741200,760,23648,14814766.554
2024,Rabat-Salé-Kénitra,1218840,507,17681,10572928.155
2024,Oriental,696480,274,9023,6166198.969
2024,Dakhla-Oued Ed-Dahab,522360,118,4180,4208412.592
2024,Drâa-Tafilalet,348240,158,4539,2665870.367
2024,Laâyoune-Sakia El Hamra,174120,60,1712,1340652.208
2024,Guelmim-Oued Noun,174120,56,1544,1611767.8
2025,Marrakech-Safi,5544000,1606,65112,45660026.899
2025,Casablanca-Settat,3564000,1257,42738,28899594.667
2025,Tanger-Tétouan-Al Hoceima,2772000,1023,32329,25057477.358
2025,Souss-Massa,2376000,700,25238,19910489.982
2025,Fès-Meknès,1980000,780,24335,17064965.795
2025,Rabat-Salé-Kénitra,1386000,499,17452,11682017.711
2025,Oriental,792000,275,9086,6951116.705
2025,Dakhla-Oued Ed-Dahab,594000,128,4543,5119860.035
2025,Drâa-Tafilalet,396000,165,4750,3122459.231
2025,Laâyoune-Sakia El Hamra,198000,62,1801,1578314.776
2025,Guelmim-Oued Noun,198000,50,1385,1618986.328
2026,Marrakech-Safi,6320160,1677,68133,53628961.874
2026,Casablanca-Settat,4062960,1423,48492,36805852.551
2026,Tanger-Tétouan-Al Hoceima,3160080,1069,33848,29447229.364
2026,Souss-Massa,2708640,775,27989,24784720.121
2026,Fès-Meknès,2257200,809,25271,19891625.4
2026,Rabat-Salé-Kénitra,1580040,558,19540,14681513.395
2026,Oriental,902880,287,9506,8162701.751
2026,Dakhla-Oued Ed-Dahab,677160,129,4596,5814174.639
2026,Drâa-Tafilalet,451440,190,5481,4044798.833
2026,Laâyoune-Sakia El Hamra,225720,61,1771,1742803.036
2026,Guelmim-Oued Noun,225720,49,1369,1796169.907
