date,total_arrivals,foreign_tourists,mre_arrivals,month
2001-03-01,8303,4235,4068,3
2001-03-02,7443,3796,3647,3
2001-03-03,7601,3877,3724,3
2001-03-04,7353,3750,3603,3
2001-03-05,8026,4093,3933,3
2001-03-06,6633,3383,3250,3
2001-03-07,8510,4340,4170,3
2001-03-08,8232,4198,4034,3
2001-04-09,8058,4110,3948,4
2001-04-10,9694,4944,4750,4
2001-04-11,9708,4951,4757,4
2001-04-12,9972,5086,4886,4
2001-04-13,8864,4521,4343,4
2001-04-14,9408,4798,4610,4
2001-04-15,8723,4449,4274,4
2001-04-16,9887,5042,4845,4
2001-04-17,7577,3864,3713,4
2001-04-18,9097,4639,4458,4
2001-04-19,7935,4047,3888,4
2001-04-20,9349,4768,4581,4
2001-04-21,7820,3988,3832,4
2001-04-22,9726,4960,4766,4
2001-04-23,9821,5009,4812,4
2001-04-24,8962,4571,4391,4
2001-04-25,10034,5117,4917,4
2001-04-26,9562,4877,4685,4
2001-04-27,8296,4231,4065,4
2001-04-28,9624,4908,4716,4
2001-04-01,7956,4058,3898,4
2001-04-02,8565,4368,4197,4
2001-04-03,9361,4774,4587,4
2001-04-04,7712,3933,3779,4
2001-04-05,7669,3911,3758,4
2001-04-06,8706,4440,4266,4
2001-04-07,8708,4441,4267,4
2001-04-08,8611,4392,4219,4
2001-04-09,9754,4975,4779,4
2001-04-10,8156,4160,3996,4
2001-05-11,9151,4667,4484,5
2001-05-12,9086,4634,4452,5
2001-05-13,8488,4329,4159,5
2001-05-14,9359,4773,4586,5
2001-05-15,8044,4102,3942,5
2001-05-16,8822,4499,4323,5
2001-05-17,7763,3959,3804,5
2001-05-18,9415,4802,4613,5
2001-05-19,8289,4227,4062,5
2001-05-20,8093,4127,3966,5
2001-05-21,9810,5003,4807,5
2001-05-22,9601,4897,4704,5
2001-05-23,9295,4740,4555,5
2001-05-24,8574,4373,4201,5
2001-05-25,8266,4216,4050,5
2001-05-26,8360,4264,4096,5
2001-05-27,7516,3833,3683,5
2001-05-28,9363,4775,4588,5
2001-05-01,9000,4590,4410,5
2001-05-02,8281,4223,4058,5
2001-05-03,9759,4977,4782,5
2001-05-04,8639,4406,4233,5
2001-05-05,7673,3913,3760,5
2001-05-06,8548,4359,4189,5
2001-05-07,7941,4050,3891,5
2001-05-08,7727,3941,3786,5
2001-05-09,8661,4417,4244,5
2001-05-10,9033,4607,4426,5
2001-05-11,9652,4923,4729,5
2001-05-12,9010,4595,4415,5
2001-05-13,9639,4916,4723,5
2001-06-14,7602,3877,3725,6
2001-06-15,7018,3579,3439,6
2001-06-16,7857,4007,3850,6
2001-06-17,7688,3921,3767,6
2001-06-18,8658,4416,4242,6
2001-06-19,8445,4307,4138,6
2001-06-20,7954,4057,3897,6
2001-06-21,7195,3669,3526,6
2001-06-22,8725,4450,4275,6
2001-06-23,8691,4432,4259,6
2001-06-24,6987,3563,3424,6
2001-06-25,8030,4095,3935,6
2001-06-26,7553,3852,3701,6
2001-06-27,6831,3484,3347,6
2001-06-28,6626,3379,3247,6
2001-06-01,7244,3694,3550,6
2001-06-02,8149,4156,3993,6
2001-06-03,7109,3626,3483,6
2001-06-04,7866,4012,3854,6
2001-06-05,8272,4219,4053,6
2001-06-06,7039,3590,3449,6
2001-06-07,7167,3655,3512,6
2001-06-08,6864,3501,3363,6
2001-06-09,8144,4153,3991,6
2001-06-10,8577,4374,4203,6
2001-06-11,6736,3435,3301,6
2001-06-12,7831,3994,3837,6
2001-06-13,8345,4256,4089,6
2001-06-14,7357,3752,3605,6
2001-06-15,6820,3478,3342,6
2001-07-16,12674,6464,6210,7
2001-07-17,12324,6285,6039,7
2001-07-18,13712,6993,6719,7
2001-07-19,14827,7562,7265,7
2001-07-20,11536,5883,5653,7
2001-07-21,12999,6629,6370,7
2001-07-22,11158,5691,5467,7
2001-07-23,14611,7452,7159,7
2001-07-24,12171,6207,5964,7
2001-07-25,12111,6177,5934,7
2001-07-26,14531,7411,7120,7
2001-07-27,14001,7141,6860,7
2001-07-28,11696,5965,5731,7
2001-07-01,14113,7198,6915,7
2001-07-02,14675,7484,7191,7
2001-07-03,12268,6257,6011,7
2001-07-04,14040,7160,6880,7
2001-07-05,14401,7345,7056,7
2001-07-06,12774,6515,6259,7
2001-07-07,15048,7674,7374,7
2001-07-08,12405,6327,6078,7
2001-07-09,14396,7342,7054,7
2001-07-10,12074,6158,5916,7
2001-07-11,12892,6575,6317,7
2001-07-12,13390,6829,6561,7
2001-07-13,13477,6873,6604,7
2001-07-14,13283,6774,6509,7
2001-07-15,13332,6799,6533,7
2001-07-16,12349,6298,6051,7
2001-07-17,13377,6822,6555,7
2001-08-18,15028,7664,7364,8
2001-08-19,13301,6784,6517,8
2001-08-20,16759,8547,8212,8
2001-08-21,14954,7627,7327,8
2001-08-22,15664,7989,7675,8
2001-08-23,16115,8219,7896,8
2001-08-24,17258,8802,8456,8
2001-08-25,13210,6737,6473,8
2001-08-26,13792,7034,6758,8
2001-08-27,16772,8554,8218,8
2001-08-28,16798,8567,8231,8
2001-08-01,17582,8967,8615,8
2001-08-02,17354,8851,8503,8
2001-08-03,17143,8743,8400,8
2001-08-04,14106,7194,6912,8
2001-08-05,13455,6862,6593,8
2001-08-06,15410,7859,7551,8
2001-08-07,17497,8923,8574,8
2001-08-08,14508,7399,7109,8
2001-08-09,15714,8014,7700,8
2001-08-10,16513,8422,8091,8
2001-08-11,15281,7793,7488,8
2001-08-12,13229,6747,6482,8
2001-08-13,16822,8579,8243,8
2001-08-14,17525,8938,8587,8
2001-08-15,16708,8521,8187,8
2001-08-16,16085,8203,7882,8
2001-08-17,14076,7179,6897,8
2001-08-18,13041,6651,6390,8
2001-08-19,14975,7637,7338,8
2001-08-20,13237,6751,6486,8
2001-09-21,12120,6181,5939,9
2001-09-22,12425,6337,6088,9
2001-09-23,11939,6089,5850,9
2001-09-24,12278,6262,6016,9
2001-09-25,9800,4998,4802,9
2001-09-26,10232,5218,5014,9
2001-09-27,11869,6053,5816,9
2001-09-28,11090,5656,5434,9
2001-09-01,10729,5472,5257,9
2001-09-02,9599,4895,4704,9
2001-09-03,10522,5366,5156,9
2001-09-04,10362,5285,5077,9
2001-09-05,11139,5681,5458,9
2001-09-06,11896,6067,5829,9
2001-09-07,12552,6402,6150,9
2001-09-08,11669,5951,5718,9
2001-09-09,11883,6060,5823,9
2001-09-10,11151,5687,5464,9
2001-09-11,12430,6339,6091,9
2001-09-12,10478,5344,5134,9
2001-09-13,12106,6174,5932,9
2001-09-14,12496,6373,6123,9
2001-09-15,11851,6044,5807,9
2001-09-16,10783,5499,5284,9
2001-09-17,11249,5737,5512,9
2001-09-18,11611,5922,5689,9
2001-09-19,10691,5452,5239,9
2001-09-20,9993,5096,4897,9
2001-09-21,10850,5534,5316,9
2001-09-22,12220,6232,5988,9
2001-10-23,10791,5503,5288,10
2001-10-24,8659,4416,4243,10
2001-10-25,9093,4637,4456,10
2001-10-26,10563,5387,5176,10
2001-10-27,8866,4522,4344,10
2001-10-28,9617,4905,4712,10
2001-10-01,10776,5496,5280,10
2001-10-02,9761,4978,4783,10
2001-10-03,10331,5269,5062,10
2001-10-04,9118,4650,4468,10
2001-10-05,10490,5350,5140,10
2001-10-06,10124,5163,4961,10
2001-10-07,9107,4645,4462,10
2001-10-08,9609,4901,4708,10
2001-10-09,8961,4570,4391,10
2001-10-10,10260,5233,5027,10
2001-10-11,10796,5506,5290,10
2001-10-12,9811,5004,4807,10
2001-10-13,8493,4331,4162,10
2001-10-14,8940,4559,4381,10
2001-10-15,10261,5233,5028,10
2001-10-16,9234,4709,4525,10
2001-10-17,9264,4725,4539,10
2001-10-18,10089,5145,4944,10
2001-10-19,8371,4269,4102,10
2001-10-20,10350,5279,5071,10
2001-10-21,10565,5388,5177,10
2001-10-22,9768,4982,4786,10
2001-10-23,9619,4906,4713,10
2001-10-24,10991,5605,5386,10
2001-10-25,9142,4662,4480,10
2001-11-26,6756,3446,3310,11
2001-11-27,6570,3351,3219,11
2001-11-28,7083,3612,3471,11
2001-11-01,7730,3942,3788,11
2001-11-02,7223,3684,3539,11
2001-11-03,7681,3917,3764,11
2001-11-04,7292,3719,3573,11
2001-11-05,8027,4094,3933,11
2001-11-06,8296,4231,4065,11
2001-11-07,7306,3726,3580,11
2001-11-08,8226,4195,4031,11
2001-11-09,8215,4190,4025,11
2001-11-10,7621,3887,3734,11
2001-11-11,7328,3737,3591,11
2001-11-12,6615,3374,3241,11
2001-11-13,7711,3933,3778,11
2001-11-14,7251,3698,3553,11
2001-11-15,7548,3849,3699,11
2001-11-16,7906,4032,3874,11
2001-11-17,6986,3563,3423,11
2001-11-18,6723,3429,3294,11
2001-11-19,6864,3501,3363,11
2001-11-20,7489,3819,3670,11
2001-11-21,8397,4282,4115,11
2001-11-22,7501,3826,3675,11
2001-11-23,6764,3450,3314,11
2001-11-24,7640,3896,3744,11
2001-11-25,7162,3653,3509,11
2001-11-26,6943,3541,3402,11
2001-11-27,7509,3830,3679,11
2001-12-28,8499,4334,4165,12
2001-12-01,8460,4315,4145,12
2001-12-02,8403,4286,4117,12
2001-12-03,8174,4169,4005,12
2001-12-04,8181,4172,4009,12
2001-12-05,6868,3503,3365,12
2001-12-06,8701,4438,4263,12
2001-12-07,8094,4128,3966,12
2001-12-08,7085,3613,3472,12
2001-12-09,6812,3474,3338,12
2001-12-10,6517,3324,3193,12
2001-12-11,8793,4484,4309,12
2001-12-12,6931,3535,3396,12
2001-12-13,7385,3766,3619,12
2001-12-14,7613,3883,3730,12
2001-12-15,7741,3948,3793,12
2001-12-16,7310,3728,3582,12
2001-12-17,8782,4479,4303,12
2001-12-18,8304,4235,4069,12
2001-12-19,7852,4005,3847,12
2001-12-20,8163,4163,4000,12
2001-12-21,7151,3647,3504,12
2001-12-22,6945,3542,3403,12
2001-12-23,8167,4165,4002,12
2001-12-24,7243,3694,3549,12
2001-12-25,6800,3468,3332,12
2001-12-26,8765,4470,4295,12
2001-12-27,7008,3574,3434,12
2001-12-28,8069,4115,3954,12
2001-12-01,8558,4365,4193,12
2002-01-01,6788,3462,3326,1
2002-01-02,6477,3303,3174,1
2002-01-03,8062,4112,3950,1
2002-01-04,6315,3221,3094,1
2002-01-05,6591,3361,3230,1
2002-01-06,6404,3266,3138,1
2002-01-07,8079,4120,3959,1
2002-01-08,6969,3554,3415,1
2002-01-09,6016,3068,2948,1
2002-01-10,6471,3300,3171,1
2002-01-11,6501,3316,3185,1
2002-01-12,7953,4056,3897,1
2002-01-13,7562,3857,3705,1
2002-01-14,6055,3088,2967,1
2002-01-15,7869,4013,3856,1
2002-01-16,7981,4070,3911,1
2002-01-17,7393,3770,3623,1
2002-01-18,6318,3222,3096,1
2002-01-19,7426,3787,3639,1
2002-01-20,5977,3048,2929,1
2002-01-21,6992,3566,3426,1
2002-01-22,6294,3210,3084,1
2002-01-23,6773,3454,3319,1
2002-01-24,6371,3249,3122,1
2002-01-25,6209,3167,3042,1
2002-01-26,7385,3766,3619,1
2002-01-27,7524,3837,3687,1
2002-01-28,7923,4041,3882,1
2002-01-01,6327,3227,3100,1
2002-01-02,7277,3711,3566,1
2002-01-03,6178,3151,3027,1
2002-02-04,6007,3064,2943,2
2002-02-05,5306,2706,2600,2
2002-02-06,6612,3372,3240,2
2002-02-07,5499,2804,2695,2
2002-02-08,6732,3433,3299,2
2002-02-09,6649,3391,3258,2
2002-02-10,6211,3168,3043,2
2002-02-11,5050,2576,2474,2
2002-02-12,5656,2885,2771,2
2002-02-13,5157,2630,2527,2
2002-02-14,6244,3184,3060,2
2002-02-15,6079,3100,2979,2
2002-02-16,6494,3312,3182,2
2002-02-17,6203,3164,3039,2
2002-02-18,6048,3084,2964,2
2002-02-19,5963,3041,2922,2
2002-02-20,5394,2751,2643,2
2002-02-21,6300,3213,3087,2
2002-02-22,5786,2951,2835,2
2002-02-23,5576,2844,2732,2
2002-02-24,6524,3327,3197,2
2002-02-25,5517,2814,2703,2
2002-02-26,6085,3103,2982,2
2002-02-27,6502,3316,3186,2
2002-02-28,5863,2990,2873,2
2002-02-01,6707,3421,3286,2
2002-02-02,5332,2719,2613,2
2002-02-03,5245,2675,2570,2
2002-02-04,5666,2890,2776,2
2002-02-05,6276,3201,3075,2
2002-03-06,7935,4047,3888,3
2002-03-07,8518,4344,4174,3
2002-03-08,9056,4619,4437,3
2002-03-09,7845,4001,3844,3
2002-03-10,8332,4249,4083,3
2002-03-11,7148,3645,3503,3
2002-03-12,7800,3978,3822,3
2002-03-13,7711,3933,3778,3
2002-03-14,7844,4000,3844,3
2002-03-15,9177,4680,4497,3
2002-03-16,7252,3699,3553,3
2002-03-17,8069,4115,3954,3
2002-03-18,8577,4374,4203,3
2002-03-19,8705,4440,4265,3
2002-03-20,7575,3863,3712,3
2002-03-21,8031,4096,3935,3
2002-03-22,9354,4771,4583,3
2002-03-23,8355,4261,4094,3
2002-03-24,8821,4499,4322,3
2002-03-25,8816,4496,4320,3
2002-03-26,9104,4643,4461,3
2002-03-27,8612,4392,4220,3
2002-03-28,8735,4455,4280,3
2002-03-01,8106,4134,3972,3
2002-03-02,8022,4091,3931,3
2002-03-03,8647,4410,4237,3
2002-03-04,9079,4630,4449,3
2002-03-05,9036,4608,4428,3
2002-03-06,7750,3953,3797,3
2002-03-07,8677,4425,4252,3
2002-03-08,9249,4717,4532,3
2002-04-09,9660,4927,4733,4
2002-04-10,9638,4915,4723,4
2002-04-11,8693,4433,4260,4
2002-04-12,8336,4251,4085,4
2002-04-13,9909,5054,4855,4
2002-04-14,10134,5168,4966,4
2002-04-15,10188,5196,4992,4
2002-04-16,10754,5485,5269,4
2002-04-17,9309,4748,4561,4
2002-04-18,8220,4192,4028,4
2002-04-19,10352,5280,5072,4
2002-04-20,8334,4250,4084,4
2002-04-21,10046,5123,4923,4
2002-04-22,10296,5251,5045,4
2002-04-23,9442,4815,4627,4
2002-04-24,9776,4986,4790,4
2002-04-25,8723,4449,4274,4
2002-04-26,8907,4543,4364,4
2002-04-27,10020,5110,4910,4
2002-04-28,9133,4658,4475,4
2002-04-01,8991,4585,4406,4
2002-04-02,8219,4192,4027,4
2002-04-03,9477,4833,4644,4
2002-04-04,10672,5443,5229,4
2002-04-05,8016,4088,3928,4
2002-04-06,10472,5341,5131,4
2002-04-07,8823,4500,4323,4
2002-04-08,10143,5173,4970,4
2002-04-09,8283,4224,4059,4
2002-04-10,10019,5110,4909,4
2002-05-11,10203,5204,4999,5
2002-05-12,9253,4719,4534,5
2002-05-13,9605,4899,4706,5
2002-05-14,8299,4232,4067,5
2002-05-15,9940,5069,4871,5
2002-05-16,9925,5062,4863,5
2002-05-17,8587,4379,4208,5
2002-05-18,8299,4232,4067,5
2002-05-19,10327,5267,5060,5
2002-05-20,8903,4541,4362,5
2002-05-21,9418,4803,4615,5
2002-05-22,8848,4512,4336,5
2002-05-23,10604,5408,5196,5
2002-05-24,8747,4461,4286,5
2002-05-25,9573,4882,4691,5
2002-05-26,8858,4518,4340,5
2002-05-27,10088,5145,4943,5
2002-05-28,8400,4284,4116,5
2002-05-01,9385,4786,4599,5
2002-05-02,9559,4875,4684,5
2002-05-03,8421,4295,4126,5
2002-05-04,9746,4970,4776,5
2002-05-05,9722,4958,4764,5
2002-05-06,10312,5259,5053,5
2002-05-07,9804,5000,4804,5
2002-05-08,9206,4695,4511,5
2002-05-09,10544,5377,5167,5
2002-05-10,8591,4381,4210,5
2002-05-11,8050,4106,3944,5
2002-05-12,10432,5320,5112,5
2002-05-13,9180,4682,4498,5
2002-06-14,8478,4324,4154,6
2002-06-15,8425,4297,4128,6
2002-06-16,7460,3805,3655,6
2002-06-17,8652,4413,4239,6
2002-06-18,8990,4585,4405,6
2002-06-19,9121,4652,4469,6
2002-06-20,8958,4569,4389,6
2002-06-21,8066,4114,3952,6
2002-06-22,8442,4305,4137,6
2002-06-23,7561,3856,3705,6
2002-06-24,6991,3565,3426,6
2002-06-25,8051,4106,3945,6
2002-06-26,7062,3602,3460,6
2002-06-27,7020,3580,3440,6
2002-06-28,8906,4542,4364,6
2002-06-01,7952,4056,3896,6
2002-06-02,8955,4567,4388,6
2002-06-03,8665,4419,4246,6
2002-06-04,8817,4497,4320,6
2002-06-05,7000,3570,3430,6
2002-06-06,8659,4416,4243,6
2002-06-07,7112,3627,3485,6
2002-06-08,7246,3695,3551,6
2002-06-09,7854,4006,3848,6
2002-06-10,8415,4292,4123,6
2002-06-11,7446,3797,3649,6
2002-06-12,8016,4088,3928,6
2002-06-13,8640,4406,4234,6
2002-06-14,8034,4097,3937,6
2002-06-15,8270,4218,4052,6
2002-07-16,13385,6826,6559,7
2002-07-17,14261,7273,6988,7
2002-07-18,13597,6934,6663,7
2002-07-19,15681,7997,7684,7
2002-07-20,12384,6316,6068,7
2002-07-21,12411,6330,6081,7
2002-07-22,13972,7126,6846,7
2002-07-23,15382,7845,7537,7
2002-07-24,12794,6525,6269,7
2002-07-25,15908,8113,7795,7
2002-07-26,12243,6244,5999,7
2002-07-27,12029,6135,5894,7
2002-07-28,13629,6951,6678,7
2002-07-01,15022,7661,7361,7
2002-07-02,14603,7448,7155,7
2002-07-03,13306,6786,6520,7
2002-07-04,12163,6203,5960,7
2002-07-05,14865,7581,7284,7
2002-07-06,14451,7370,7081,7
2002-07-07,14607,7450,7157,7
2002-07-08,14472,7381,7091,7
2002-07-09,14643,7468,7175,7
2002-07-10,13597,6934,6663,7
2002-07-11,15520,7915,7605,7
2002-07-12,15850,8084,7766,7
2002-07-13,12549,6400,6149,7
2002-07-14,15068,7685,7383,7
2002-07-15,15409,7859,7550,7
2002-07-16,14474,7382,7092,7
2002-07-17,15662,7988,7674,7
2002-08-18,15154,7729,7425,8
2002-08-19,16726,8530,8196,8
2002-08-20,15223,7764,7459,8
2002-08-21,16040,8180,7860,8
2002-08-22,18700,9537,9163,8
2002-08-23,18383,9375,9008,8
2002-08-24,16071,8196,7875,8
2002-08-25,15805,8061,7744,8
2002-08-26,18189,9276,8913,8
2002-08-27,15871,8094,7777,8
2002-08-28,14490,7390,7100,8
2002-08-01,16437,8383,8054,8
2002-08-02,16709,8522,8187,8
2002-08-03,14670,7482,7188,8
2002-08-04,17203,8774,8429,8
2002-08-05,17866,9112,8754,8
2002-08-06,16625,8479,8146,8
2002-08-07,14784,7540,7244,8
2002-08-08,18504,9437,9067,8
2002-08-09,14205,7245,6960,8
2002-08-10,14582,7437,7145,8
2002-08-11,14262,7274,6988,8
2002-08-12,14943,7621,7322,8
2002-08-13,17302,8824,8478,8
2002-08-14,17033,8687,8346,8
2002-08-15,17789,9072,8717,8
2002-08-16,16805,8571,8234,8
2002-08-17,15102,7702,7400,8
2002-08-18,16654,8494,8160,8
2002-08-19,16501,8416,8085,8
2002-08-20,14809,7553,7256,8
2002-09-21,12350,6299,6051,9
2002-09-22,12895,6576,6319,9
2002-09-23,13311,6789,6522,9
2002-09-24,11927,6083,5844,9
2002-09-25,11653,5943,5710,9
2002-09-26,11788,6012,5776,9
2002-09-27,12131,6187,5944,9
2002-09-28,13374,6821,6553,9
2002-09-01,10110,5156,4954,9
2002-09-02,11331,5779,5552,9
2002-09-03,11125,5674,5451,9
2002-09-04,10931,5575,5356,9
2002-09-05,13304,6785,6519,9
2002-09-06,11502,5866,5636,9
2002-09-07,11198,5711,5487,9
2002-09-08,10491,5350,5141,9
2002-09-09,11956,6098,5858,9
2002-09-10,12104,6173,5931,9
2002-09-11,13242,6753,6489,9
2002-09-12,12730,6492,6238,9
2002-09-13,10492,5351,5141,9
2002-09-14,10402,5305,5097,9
2002-09-15,10686,5450,5236,9
2002-09-16,11304,5765,5539,9
2002-09-17,11770,6003,5767,9
2002-09-18,11615,5924,5691,9
2002-09-19,11350,5789,5561,9
2002-09-20,10832,5524,5308,9
2002-09-21,12338,6292,6046,9
2002-09-22,13352,6810,6542,9
2002-10-23,10388,5298,5090,10
2002-10-24,9542,4866,4676,10
2002-10-25,10479,5344,5135,10
2002-10-26,10051,5126,4925,10
2002-10-27,11354,5791,5563,10
2002-10-28,9877,5037,4840,10
2002-10-01,9592,4892,4700,10
2002-10-02,11787,6011,5776,10
2002-10-03,11920,6079,5841,10
2002-10-04,9756,4976,4780,10
2002-10-05,8991,4585,4406,10
2002-10-06,11393,5810,5583,10
2002-10-07,10126,5164,4962,10
2002-10-08,10805,5511,5294,10
2002-10-09,9910,5054,4856,10
2002-10-10,10431,5320,5111,10
2002-10-11,11467,5848,5619,10
2002-10-12,10365,5286,5079,10
2002-10-13,10283,5244,5039,10
2002-10-14,11148,5685,5463,10
2002-10-15,9322,4754,4568,10
2002-10-16,9997,5098,4899,10
2002-10-17,11052,5637,5415,10
2002-10-18,11411,5820,5591,10
2002-10-19,10098,5150,4948,10
2002-10-20,11124,5673,5451,10
2002-10-21,9856,5027,4829,10
2002-10-22,11027,5624,5403,10
2002-10-23,11495,5862,5633,10
2002-10-24,11551,5891,5660,10
2002-10-25,10007,5104,4903,10
2002-11-26,8363,4265,4098,11
2002-11-27,9160,4672,4488,11
2002-11-28,8751,4463,4288,11
2002-11-01,8553,4362,4191,11
2002-11-02,9061,4621,4440,11
2002-11-03,8333,4250,4083,11
2002-11-04,7098,3620,3478,11
2002-11-05,8590,4381,4209,11
2002-11-06,7895,4026,3869,11
2002-11-07,7874,4016,3858,11
2002-11-08,8038,4099,3939,11
2002-11-09,9348,4767,4581,11
2002-11-10,8400,4284,4116,11
2002-11-11,8865,4521,4344,11
2002-11-12,7339,3743,3596,11
2002-11-13,7007,3574,3433,11
2002-11-14,9038,4609,4429,11
2002-11-15,9082,4632,4450,11
2002-11-16,7581,3866,3715,11
2002-11-17,7497,3823,3674,11
2002-11-18,9173,4678,4495,11
2002-11-19,8332,4249,4083,11
2002-11-20,9163,4673,4490,11
2002-11-21,8156,4160,3996,11
2002-11-22,7021,3581,3440,11
2002-11-23,7341,3744,3597,11
2002-11-24,7288,3717,3571,11
2002-11-25,7612,3882,3730,11
2002-11-26,7064,3603,3461,11
2002-11-27,8814,4495,4319,11
2002-12-28,8097,4129,3968,12
2002-12-01,7951,4055,3896,12
2002-12-02,7559,3855,3704,12
2002-12-03,8854,4516,4338,12
2002-12-04,9071,4626,4445,12
2002-12-05,7763,3959,3804,12
2002-12-06,8246,4205,4041,12
2002-12-07,7510,3830,3680,12
2002-12-08,8597,4384,4213,12
2002-12-09,7238,3691,3547,12
2002-12-10,7696,3925,3771,12
2002-12-11,7321,3734,3587,12
2002-12-12,8414,4291,4123,12
2002-12-13,7411,3780,3631,12
2002-12-14,7418,3783,3635,12
2002-12-15,7606,3879,3727,12
2002-12-16,8805,4491,4314,12
2002-12-17,7244,3694,3550,12
2002-12-18,7643,3898,3745,12
2002-12-19,9149,4666,4483,12
2002-12-20,8567,4369,4198,12
2002-12-21,7226,3685,3541,12
2002-12-22,8202,4183,4019,12
2002-12-23,8765,4470,4295,12
2002-12-24,7517,3834,3683,12
2002-12-25,8665,4419,4246,12
2002-12-26,7224,3684,3540,12
2002-12-27,9396,4792,4604,12
2002-12-28,8581,4376,4205,12
2002-12-01,8223,4194,4029,12
2003-01-01,7145,3644,3501,1
2003-01-02,7960,4060,3900,1
2003-01-03,7946,4052,3894,1
2003-01-04,7888,4023,3865,1
2003-01-05,7122,3632,3490,1
2003-01-06,7507,3829,3678,1
2003-01-07,8617,4395,4222,1
2003-01-08,7112,3627,3485,1
2003-01-09,7668,3911,3757,1
2003-01-10,7983,4071,3912,1
2003-01-11,8204,4184,4020,1
2003-01-12,8643,4408,4235,1
2003-01-13,6772,3454,3318,1
2003-01-14,6619,3376,3243,1
2003-01-15,7984,4072,3912,1
2003-01-16,7527,3839,3688,1
2003-01-17,8345,4256,4089,1
2003-01-18,8675,4424,4251,1
2003-01-19,7095,3618,3477,1
2003-01-20,7304,3725,3579,1
2003-01-21,7470,3810,3660,1
2003-01-22,7352,3750,3602,1
2003-01-23,8617,4395,4222,1
2003-01-24,6478,3304,3174,1
2003-01-25,8240,4202,4038,1
2003-01-26,7432,3790,3642,1
2003-01-27,7073,3607,3466,1
2003-01-28,8025,4093,3932,1
2003-01-01,8397,4282,4115,1
2003-01-02,6930,3534,3396,1
2003-01-03,6572,3352,3220,1
2003-02-04,5879,2998,2881,2
2003-02-05,5938,3028,2910,2
2003-02-06,5401,2755,2646,2
2003-02-07,6273,3199,3074,2
2003-02-08,6561,3346,3215,2
2003-02-09,7119,3631,3488,2
2003-02-10,6627,3380,3247,2
2003-02-11,7225,3685,3540,2
2003-02-12,6628,3380,3248,2
2003-02-13,6328,3227,3101,2
2003-02-14,5463,2786,2677,2
2003-02-15,6313,3220,3093,2
2003-02-16,6144,3133,3011,2
