year,month,airport_code,airport_name,passengers
2001,5,VIL,Dakhla,3129
2001,6,VIL,Dakhla,2897
2001,7,VIL,Dakhla,4915
2001,8,VIL,Dakhla,5327
2001,9,VIL,Dakhla,3635
2001,10,VIL,Dakhla,3833
2001,11,VIL,Dakhla,2595
2001,12,VIL,Dakhla,2813
2001,1,EUN,Laayoune Hassan I,2145
2001,2,EUN,Laayoune Hassan I,1810
2001,3,EUN,Laayoune Hassan I,2340
2001,4,EUN,Laayoune Hassan I,2688
2001,5,EUN,Laayoune Hassan I,2932
2001,6,EUN,Laayoune Hassan I,2408
2001,7,EUN,Laayoune Hassan I,3929
2001,8,EUN,Laayoune Hassan I,4655
2001,9,EUN,Laayoune Hassan I,3577
2001,10,EUN,Laayoune Hassan I,3119
2001,11,EUN,Laayoune Hassan I,2437
2001,12,EUN,Laayoune Hassan I,2585
2001,1,TTU,Tetouan Sania Ramel,1640
2001,2,TTU,Tetouan Sania Ramel,1262
2001,3,TTU,Tetouan Sania Ramel,1949
2001,4,TTU,Tetouan Sania Ramel,2261
2001,5,TTU,Tetouan Sania Ramel,1992
2001,6,TTU,Tetouan Sania Ramel,1780
2001,7,TTU,Tetouan Sania Ramel,3443
2001,8,TTU,Tetouan Sania Ramel,3341
2001,9,TTU,Tetouan Sania Ramel,2514
2001,10,TTU,Tetouan Sania Ramel,2268
2001,11,TTU,Tetouan Sania Ramel,1794
2001,12,TTU,Tetouan Sania Ramel,1756
2001,1,ESU,Essaouira Mogador,1412
2001,2,ESU,Essaouira Mogador,1144
2001,3,ESU,Essaouira Mogador,1685
2001,4,ESU,Essaouira Mogador,1754
2001,5,ESU,Essaouira Mogador,1866
2001,6,ESU,Essaouira Mogador,1641
2001,7,ESU,Essaouira Mogador,2859
2001,8,ESU,Essaouira Mogador,3407
2001,9,ESU,Essaouira Mogador,2214
2001,10,ESU,Essaouira Mogador,2078
2001,11,ESU,Essaouira Mogador,1641
2001,12,ESU,Essaouira Mogador,1682
2001,1,OZZ,Ouarzazate,1067
2001,2,OZZ,Ouarzazate,997
2001,3,OZZ,Ouarzazate,1388
2001,4,OZZ,Ouarzazate,1369
2001,5,OZZ,Ouarzazate,1396
2001,6,OZZ,Ouarzazate,1314
2001,7,OZZ,Ouarzazate,2278
2001,8,OZZ,Ouarzazate,2708
2001,9,OZZ,Ouarzazate,2011
2001,10,OZZ,Ouarzazate,1790
2001,11,OZZ,Ouarzazate,1354
2001,12,OZZ,Ouarzazate,1381
2001,1,MEK,Meknes,769
2001,2,MEK,Meknes,570
2001,3,MEK,Meknes,786
2001,4,MEK,Meknes,888
2001,5,MEK,Meknes,1004
2001,6,MEK,Meknes,842
2001,7,MEK,Meknes,1370
2001,8,MEK,Meknes,1874
2001,9,MEK,Meknes,1339
2001,10,MEK,Meknes,1120
2001,11,MEK,Meknes,903
2001,12,MEK,Meknes,848
2002,1,RAK,Marrakech Menara,77774
2002,2,RAK,Marrakech Menara,58662
2002,3,RAK,Marrakech Menara,77929
2002,4,RAK,Marrakech Menara,90428
2002,5,RAK,Marrakech Menara,103608
2002,6,RAK,Marrakech Menara,86840
2002,7,RAK,Marrakech Menara,132063
2002,8,RAK,Marrakech Menara,174400
2002,9,RAK,Marrakech Menara,113356
2002,10,RAK,Marrakech Menara,100400
2002,11,RAK,Marrakech Menara,86171
2002,12,RAK,Marrakech Menara,76453
2002,1,CMN,Casablanca Mohammed V,95427
2002,2,CMN,Casablanca Mohammed V,80008
2002,3,CMN,Casablanca Mohammed V,105593
2002,4,CMN,Casablanca Mohammed V,135447
2002,5,CMN,Casablanca Mohammed V,133103
2002,6,CMN,Casablanca Mohammed V,117038
2002,7,CMN,Casablanca Mohammed V,204122
2002,8,CMN,Casablanca Mohammed V,209748
2002,9,CMN,Casablanca Mohammed V,173978
2002,10,CMN,Casablanca Mohammed V,157463
2002,11,CMN,Casablanca Mohammed V,107391
2002,12,CMN,Casablanca Mohammed V,109206
2002,1,TNG,Tanger Ibn Battouta,45668
2002,2,TNG,Tanger Ibn Battouta,35117
2002,3,TNG,Tanger Ibn Battouta,50961
2002,4,TNG,Tanger Ibn Battouta,63007
2002,5,TNG,Tanger Ibn Battouta,61932
2002,6,TNG,Tanger Ibn Battouta,50765
2002,7,TNG,Tanger Ibn Battouta,88078
2002,8,TNG,Tanger Ibn Battouta,110723
2002,9,TNG,Tanger Ibn Battouta,66905
2002,10,TNG,Tanger Ibn Battouta,64457
2002,11,TNG,Tanger Ibn Battouta,48212
2002,12,TNG,Tanger Ibn Battouta,48656
2002,1,AGA,Agadir Al Massira,31207
2002,2,AGA,Agadir Al Massira,26353
2002,3,AGA,Agadir Al Massira,33592
2002,4,AGA,Agadir Al Massira,43172
2002,5,AGA,Agadir Al Massira,38911
2002,6,AGA,Agadir Al Massira,31138
2002,7,AGA,Agadir Al Massira,56009
2002,8,AGA,Agadir Al Massira,63358
2002,9,AGA,Agadir Al Massira,52730
2002,10,AGA,Agadir Al Massira,45156
2002,11,AGA,Agadir Al Massira,31336
2002,12,AGA,Agadir Al Massira,34952
2002,1,FEZ,Fès Saïss,17312
2002,2,FEZ,Fès Saïss,14304
2002,3,FEZ,Fès Saïss,18487
2002,4,FEZ,Fès Saïss,20585
2002,5,FEZ,Fès Saïss,23877
2002,6,FEZ,Fès Saïss,21117
2002,7,FEZ,Fès Saïss,30958
2002,8,FEZ,Fès Saïss,42708
2002,9,FEZ,Fès Saïss,28450
2002,10,FEZ,Fès Saïss,27051
2002,11,FEZ,Fès Saïss,18651
2002,12,FEZ,Fès Saïss,21136
2002,1,RBA,Rabat-Salé,11085
2002,2,RBA,Rabat-Salé,9737
2002,3,RBA,Rabat-Salé,11374
2002,4,RBA,Rabat-Salé,14299
2002,5,RBA,Rabat-Salé,13399
2002,6,RBA,Rabat-Salé,12888
2002,7,RBA,Rabat-Salé,22098
2002,8,RBA,Rabat-Salé,25935
2002,9,RBA,Rabat-Salé,17344
2002,10,RBA,Rabat-Salé,14969
2002,11,RBA,Rabat-Salé,12215
2002,12,RBA,Rabat-Salé,13028
2002,1,OUD,Oujda Angads,6808
2002,2,OUD,Oujda Angads,5178
2002,3,OUD,Oujda Angads,7865
2002,4,OUD,Oujda Angads,9664
2002,5,OUD,Oujda Angads,8503
2002,6,OUD,Oujda Angads,7476
2002,7,OUD,Oujda Angads,14077
2002,8,OUD,Oujda Angads,16701
2002,9,OUD,Oujda Angads,10622
2002,10,OUD,Oujda Angads,10481
2002,11,OUD,Oujda Angads,8067
2002,12,OUD,Oujda Angads,7736
2002,1,NDR,Nador Ibn Batouta,6325
2002,2,NDR,Nador Ibn Batouta,5962
2002,3,NDR,Nador Ibn Batouta,8033
2002,4,NDR,Nador Ibn Batouta,8297
2002,5,NDR,Nador Ibn Batouta,8832
2002,6,NDR,Nador Ibn Batouta,8349
2002,7,NDR,Nador Ibn Batouta,12783
2002,8,NDR,Nador Ibn Batouta,17140
2002,9,NDR,Nador Ibn Batouta,11307
2002,10,NDR,Nador Ibn Batouta,10694
2002,11,NDR,Nador Ibn Batouta,8040
2002,12,NDR,Nador Ibn Batouta,7172
2002,1,ERH,Errachidia Moulay Ali Cherif,2844
2002,2,ERH,Errachidia Moulay Ali Cherif,2375
2002,3,ERH,Errachidia Moulay Ali Cherif,3125
2002,4,ERH,Errachidia Moulay Ali Cherif,3592
2002,5,ERH,Errachidia Moulay Ali Cherif,4012
2002,6,ERH,Errachidia Moulay Ali Cherif,2976
2002,7,ERH,Errachidia Moulay Ali Cherif,5756
2002,8,ERH,Errachidia Moulay Ali Cherif,6643
2002,9,ERH,Errachidia Moulay Ali Cherif,4671
2002,10,ERH,Errachidia Moulay Ali Cherif,3987
2002,11,ERH,Errachidia Moulay Ali Cherif,3386
2002,12,ERH,Errachidia Moulay Ali Cherif,2959
2002,1,VIL,Dakhla,2972
2002,2,VIL,Dakhla,2457
2002,3,VIL,Dakhla,3168
2002,4,VIL,Dakhla,4059
2002,5,VIL,Dakhla,3377
2002,6,VIL,Dakhla,3193
2002,7,VIL,Dakhla,5490
2002,8,VIL,Dakhla,7005
2002,9,VIL,Dakhla,4614
2002,10,VIL,Dakhla,4437
2002,11,VIL,Dakhla,3513
2002,12,VIL,Dakhla,3452
2002,1,EUN,Laayoune Hassan I,2469
2002,2,EUN,Laayoune Hassan I,1815
2002,3,EUN,Laayoune Hassan I,2712
2002,4,EUN,Laayoune Hassan I,3023
2002,5,EUN,Laayoune Hassan I,2779
2002,6,EUN,Laayoune Hassan I,2795
2002,7,EUN,Laayoune Hassan I,4827
2002,8,EUN,Laayoune Hassan I,5464
2002,9,EUN,Laayoune Hassan I,3655
2002,10,EUN,Laayoune Hassan I,3429
2002,11,EUN,Laayoune Hassan I,2865
2002,12,EUN,Laayoune Hassan I,2896
2002,1,TTU,Tetouan Sania Ramel,1662
2002,2,TTU,Tetouan Sania Ramel,1260
2002,3,TTU,Tetouan Sania Ramel,1923
2002,4,TTU,Tetouan Sania Ramel,2142
2002,5,TTU,Tetouan Sania Ramel,2059
2002,6,TTU,Tetouan Sania Ramel,1988
2002,7,TTU,Tetouan Sania Ramel,3272
2002,8,TTU,Tetouan Sania Ramel,3554
2002,9,TTU,Tetouan Sania Ramel,2589
2002,10,TTU,Tetouan Sania Ramel,2606
2002,11,TTU,Tetouan Sania Ramel,1672
2002,12,TTU,Tetouan Sania Ramel,1989
2002,1,ESU,Essaouira Mogador,1375
2002,2,ESU,Essaouira Mogador,1259
2002,3,ESU,Essaouira Mogador,1671
2002,4,ESU,Essaouira Mogador,1742
2002,5,ESU,Essaouira Mogador,1892
2002,6,ESU,Essaouira Mogador,1485
2002,7,ESU,Essaouira Mogador,2941
2002,8,ESU,Essaouira Mogador,3252
2002,9,ESU,Essaouira Mogador,2219
2002,10,ESU,Essaouira Mogador,2032
2002,11,ESU,Essaouira Mogador,1570
2002,12,ESU,Essaouira Mogador,1696
2002,1,OZZ,Ouarzazate,1058
2002,2,OZZ,Ouarzazate,979
2002,3,OZZ,Ouarzazate,1285
2002,4,OZZ,Ouarzazate,1382
2002,5,OZZ,Ouarzazate,1559
2002,6,OZZ,Ouarzazate,1359
2002,7,OZZ,Ouarzazate,2142
2002,8,OZZ,Ouarzazate,2396
2002,9,OZZ,Ouarzazate,2008
2002,10,OZZ,Ouarzazate,1518
2002,11,OZZ,Ouarzazate,1376
2002,12,OZZ,Ouarzazate,1292
2002,1,MEK,Meknes,850
2002,2,MEK,Meknes,621
2002,3,MEK,Meknes,869
2002,4,MEK,Meknes,1081
2002,5,MEK,Meknes,1085
2002,6,MEK,Meknes,936
2002,7,MEK,Meknes,1592
2002,8,MEK,Meknes,1962
2002,9,MEK,Meknes,1294
2002,10,MEK,Meknes,1073
2002,11,MEK,Meknes,825
2002,12,MEK,Meknes,829
2003,1,RAK,Marrakech Menara,75774
2003,2,RAK,Marrakech Menara,63266
2003,3,RAK,Marrakech Menara,84583
2003,4,RAK,Marrakech Menara,111444
2003,5,RAK,Marrakech Menara,106974
2003,6,RAK,Marrakech Menara,89991
2003,7,RAK,Marrakech Menara,148517
2003,8,RAK,Marrakech Menara,187879
2003,9,RAK,Marrakech Menara,134127
2003,10,RAK,Marrakech Menara,125048
2003,11,RAK,Marrakech Menara,86136
2003,12,RAK,Marrakech Menara,85274
2003,1,CMN,Casablanca Mohammed V,104583
2003,2,CMN,Casablanca Mohammed V,78927
2003,3,CMN,Casablanca Mohammed V,127800
2003,4,CMN,Casablanca Mohammed V,137210
2003,5,CMN,Casablanca Mohammed V,146266
2003,6,CMN,Casablanca Mohammed V,110805
2003,7,CMN,Casablanca Mohammed V,194548
2003,8,CMN,Casablanca Mohammed V,218114
2003,9,CMN,Casablanca Mohammed V,178382
2003,10,CMN,Casablanca Mohammed V,149688
2003,11,CMN,Casablanca Mohammed V,113789
2003,12,CMN,Casablanca Mohammed V,117737
2003,1,TNG,Tanger Ibn Battouta,46721
2003,2,TNG,Tanger Ibn Battouta,39744
2003,3,TNG,Tanger Ibn Battouta,50098
2003,4,TNG,Tanger Ibn Battouta,64799
2003,5,TNG,Tanger Ibn Battouta,60076
2003,6,TNG,Tanger Ibn Battouta,53509
2003,7,TNG,Tanger Ibn Battouta,90019
2003,8,TNG,Tanger Ibn Battouta,100290
2003,9,TNG,Tanger Ibn Battouta,71369
2003,10,TNG,Tanger Ibn Battouta,65090
2003,11,TNG,Tanger Ibn Battouta,58627
2003,12,TNG,Tanger Ibn Battouta,49863
2003,1,AGA,Agadir Al Massira,35491
2003,2,AGA,Agadir Al Massira,25659
2003,3,AGA,Agadir Al Massira,39036
2003,4,AGA,Agadir Al Massira,42024
2003,5,AGA,Agadir Al Massira,43501
2003,6,AGA,Agadir Al Massira,38384
2003,7,AGA,Agadir Al Massira,62221
2003,8,AGA,Agadir Al Massira,75492
2003,9,AGA,Agadir Al Massira,57733
2003,10,AGA,Agadir Al Massira,47227
2003,11,AGA,Agadir Al Massira,37610
2003,12,AGA,Agadir Al Massira,35448
2003,1,FEZ,Fès Saïss,19706
2003,2,FEZ,Fès Saïss,15358
2003,3,FEZ,Fès Saïss,22831
2003,4,FEZ,Fès Saïss,26865
2003,5,FEZ,Fès Saïss,26037
2003,6,FEZ,Fès Saïss,21422
2003,7,FEZ,Fès Saïss,38073
2003,8,FEZ,Fès Saïss,49872
2003,9,FEZ,Fès Saïss,36169
2003,10,FEZ,Fès Saïss,31167
2003,11,FEZ,Fès Saïss,21066
2003,12,FEZ,Fès Saïss,20937
2003,1,RBA,Rabat-Salé,12441
2003,2,RBA,Rabat-Salé,9899
2003,3,RBA,Rabat-Salé,12973
2003,4,RBA,Rabat-Salé,16819
2003,5,RBA,Rabat-Salé,15784
2003,6,RBA,Rabat-Salé,15119
2003,7,RBA,Rabat-Salé,23578
2003,8,RBA,Rabat-Salé,30088
2003,9,RBA,Rabat-Salé,19095
2003,10,RBA,Rabat-Salé,19552
2003,11,RBA,Rabat-Salé,15084
2003,12,RBA,Rabat-Salé,14096
2003,1,OUD,Oujda Angads,8423
2003,2,OUD,Oujda Angads,6180
2003,3,OUD,Oujda Angads,8866
2003,4,OUD,Oujda Angads,10595
2003,5,OUD,Oujda Angads,11904
2003,6,OUD,Oujda Angads,9387
2003,7,OUD,Oujda Angads,15506
2003,8,OUD,Oujda Angads,19542
2003,9,OUD,Oujda Angads,13641
2003,10,OUD,Oujda Angads,12575
2003,11,OUD,Oujda Angads,9070
2003,12,OUD,Oujda Angads,9324
2003,1,NDR,Nador Ibn Batouta,6918
2003,2,NDR,Nador Ibn Batouta,5644
2003,3,NDR,Nador Ibn Batouta,8727
2003,4,NDR,Nador Ibn Batouta,10044
2003,5,NDR,Nador Ibn Batouta,9059
2003,6,NDR,Nador Ibn Batouta,9209
2003,7,NDR,Nador Ibn Batouta,15405
2003,8,NDR,Nador Ibn Batouta,16795
2003,9,NDR,Nador Ibn Batouta,12037
2003,10,NDR,Nador Ibn Batouta,9800
2003,11,NDR,Nador Ibn Batouta,7964
2003,12,NDR,Nador Ibn Batouta,7937
2003,1,ERH,Errachidia Moulay Ali Cherif,2971
2003,2,ERH,Errachidia Moulay Ali Cherif,2403
2003,3,ERH,Errachidia Moulay Ali Cherif,3944
2003,4,ERH,Errachidia Moulay Ali Cherif,4198
2003,5,ERH,Errachidia Moulay Ali Cherif,4363
2003,6,ERH,Errachidia Moulay Ali Cherif,3464
2003,7,ERH,Errachidia Moulay Ali Cherif,6075
2003,8,ERH,Errachidia Moulay Ali Cherif,6944
2003,9,ERH,Errachidia Moulay Ali Cherif,5165
2003,10,ERH,Errachidia Moulay Ali Cherif,4587
2003,11,ERH,Errachidia Moulay Ali Cherif,3335
2003,12,ERH,Errachidia Moulay Ali Cherif,3472
2003,1,VIL,Dakhla,2763
2003,2,VIL,Dakhla,2102
2003,3,VIL,Dakhla,3315
2003,4,VIL,Dakhla,3672
2003,5,VIL,Dakhla,3892
2003,6,VIL,Dakhla,3477
2003,7,VIL,Dakhla,5283
2003,8,VIL,Dakhla,6161
2003,9,VIL,Dakhla,4433
2003,10,VIL,Dakhla,4331
2003,11,VIL,Dakhla,3517
2003,12,VIL,Dakhla,3113
2003,1,EUN,Laayoune Hassan I,2639
2003,2,EUN,Laayoune Hassan I,2150
2003,3,EUN,Laayoune Hassan I,2879
2003,4,EUN,Laayoune Hassan I,3052
2003,5,EUN,Laayoune Hassan I,3357
2003,6,EUN,Laayoune Hassan I,3064
2003,7,EUN,Laayoune Hassan I,5117
2003,8,EUN,Laayoune Hassan I,5614
2003,9,EUN,Laayoune Hassan I,4176
2003,10,EUN,Laayoune Hassan I,3694
2003,11,EUN,Laayoune Hassan I,2690
2003,12,EUN,Laayoune Hassan I,2599
2003,1,TTU,Tetouan Sania Ramel,1800
2003,2,TTU,Tetouan Sania Ramel,1648
2003,3,TTU,Tetouan Sania Ramel,2439
2003,4,TTU,Tetouan Sania Ramel,2497
2003,5,TTU,Tetouan Sania Ramel,2458
2003,6,TTU,Tetouan Sania Ramel,2056
2003,7,TTU,Tetouan Sania Ramel,3829
2003,8,TTU,Tetouan Sania Ramel,4540
2003,9,TTU,Tetouan Sania Ramel,3430
2003,10,TTU,Tetouan Sania Ramel,2670
2003,11,TTU,Tetouan Sania Ramel,2046
2003,12,TTU,Tetouan Sania Ramel,2085
2003,1,ESU,Essaouira Mogador,1475
2003,2,ESU,Essaouira Mogador,1344
2003,3,ESU,Essaouira Mogador,1911
2003,4,ESU,Essaouira Mogador,2002
2003,5,ESU,Essaouira Mogador,2184
2003,6,ESU,Essaouira Mogador,1901
2003,7,ESU,Essaouira Mogador,3225
2003,8,ESU,Essaouira Mogador,3630
2003,9,ESU,Essaouira Mogador,2678
2003,10,ESU,Essaouira Mogador,2257
2003,11,ESU,Essaouira Mogador,1681
2003,12,ESU,Essaouira Mogador,1849
2003,1,OZZ,Ouarzazate,1265
2003,2,OZZ,Ouarzazate,1157
2003,3,OZZ,Ouarzazate,1533
2003,4,OZZ,Ouarzazate,1822
2003,5,OZZ,Ouarzazate,1648
2003,6,OZZ,Ouarzazate,1596
2003,7,OZZ,Ouarzazate,2326
2003,8,OZZ,Ouarzazate,3002
2003,9,OZZ,Ouarzazate,2156
2003,10,OZZ,Ouarzazate,1911
2003,11,OZZ,Ouarzazate,1530
2003,12,OZZ,Ouarzazate,1601
2003,1,MEK,Meknes,804
2003,2,MEK,Meknes,690
2003,3,MEK,Meknes,857
2003,4,MEK,Meknes,958
2003,5,MEK,Meknes,1013
2003,6,MEK,Meknes,964
2003,7,MEK,Meknes,1558
2003,8,MEK,Meknes,1654
2003,9,MEK,Meknes,1229
2003,10,MEK,Meknes,1242
2003,11,MEK,Meknes,856
2003,12,MEK,Meknes,948
2004,1,RAK,Marrakech Menara,92529
2004,2,RAK,Marrakech Menara,74088
2004,3,RAK,Marrakech Menara,105475
2004,4,RAK,Marrakech Menara,124402
2004,5,RAK,Marrakech Menara,131730
2004,6,RAK,Marrakech Menara,100684
2004,7,RAK,Marrakech Menara,183987
2004,8,RAK,Marrakech Menara,199819
2004,9,RAK,Marrakech Menara,146638
2004,10,RAK,Marrakech Menara,132956
2004,11,RAK,Marrakech Menara,99045
2004,12,RAK,Marrakech Menara,100099
2004,1,CMN,Casablanca Mohammed V,107301
2004,2,CMN,Casablanca Mohammed V,98282
2004,3,CMN,Casablanca Mohammed V,138106
2004,4,CMN,Casablanca Mohammed V,145168
2004,5,CMN,Casablanca Mohammed V,158621
2004,6,CMN,Casablanca Mohammed V,131921
2004,7,CMN,Casablanca Mohammed V,238037
2004,8,CMN,Casablanca Mohammed V,279050
2004,9,CMN,Casablanca Mohammed V,207871
2004,10,CMN,Casablanca Mohammed V,180179
2004,11,CMN,Casablanca Mohammed V,127910
2004,12,CMN,Casablanca Mohammed V,145764
2004,1,TNG,Tanger Ibn Battouta,53921
2004,2,TNG,Tanger Ibn Battouta,49271
2004,3,TNG,Tanger Ibn Battouta,69180
2004,4,TNG,Tanger Ibn Battouta,68640
2004,5,TNG,Tanger Ibn Battouta,78449
2004,6,TNG,Tanger Ibn Battouta,71944
2004,7,TNG,Tanger Ibn Battouta,104225
2004,8,TNG,Tanger Ibn Battouta,120551
2004,9,TNG,Tanger Ibn Battouta,99390
2004,10,TNG,Tanger Ibn Battouta,81118
2004,11,TNG,Tanger Ibn Battouta,61720
2004,12,TNG,Tanger Ibn Battouta,60954
2004,1,AGA,Agadir Al Massira,38206
2004,2,AGA,Agadir Al Massira,29810
2004,3,AGA,Agadir Al Massira,39456
2004,4,AGA,Agadir Al Massira,49826
2004,5,AGA,Agadir Al Massira,49581
2004,6,AGA,Agadir Al Massira,42391
2004,7,AGA,Agadir Al Massira,76135
2004,8,AGA,Agadir Al Massira,86132
2004,9,AGA,Agadir Al Massira,52965
2004,10,AGA,Agadir Al Massira,50446
2004,11,AGA,Agadir Al Massira,43423
2004,12,AGA,Agadir Al Massira,40829
2004,1,FEZ,Fès Saïss,20872
2004,2,FEZ,Fès Saïss,17423
2004,3,FEZ,Fès Saïss,23370
2004,4,FEZ,Fès Saïss,26806
2004,5,FEZ,Fès Saïss,25641
2004,6,FEZ,Fès Saïss,21772
2004,7,FEZ,Fès Saïss,37671
2004,8,FEZ,Fès Saïss,44469
2004,9,FEZ,Fès Saïss,31350
2004,10,FEZ,Fès Saïss,32169
2004,11,FEZ,Fès Saïss,22921
2004,12,FEZ,Fès Saïss,21959
2004,1,RBA,Rabat-Salé,11953
2004,2,RBA,Rabat-Salé,10686
2004,3,RBA,Rabat-Salé,13190
2004,4,RBA,Rabat-Salé,16591
2004,5,RBA,Rabat-Salé,15034
2004,6,RBA,Rabat-Salé,14867
2004,7,RBA,Rabat-Salé,24355
2004,8,RBA,Rabat-Salé,26480
2004,9,RBA,Rabat-Salé,19159
2004,10,RBA,Rabat-Salé,17002
2004,11,RBA,Rabat-Salé,13558
2004,12,RBA,Rabat-Salé,13665
2004,1,OUD,Oujda Angads,8316
2004,2,OUD,Oujda Angads,7104
2004,3,OUD,Oujda Angads,10064
2004,4,OUD,Oujda Angads,10767
2004,5,OUD,Oujda Angads,10592
2004,6,OUD,Oujda Angads,10184
2004,7,OUD,Oujda Angads,17662
2004,8,OUD,Oujda Angads,18215
2004,9,OUD,Oujda Angads,15485
2004,10,OUD,Oujda Angads,12566
2004,11,OUD,Oujda Angads,10854
2004,12,OUD,Oujda Angads,9300
2004,1,NDR,Nador Ibn Batouta,8598
2004,2,NDR,Nador Ibn Batouta,6435
2004,3,NDR,Nador Ibn Batouta,10016
2004,4,NDR,Nador Ibn Batouta,9672
2004,5,NDR,Nador Ibn Batouta,11082
2004,6,NDR,Nador Ibn Batouta,8730
