code,indicator,unit,year,value
GGX,General government total expenditure,Percent of GDP,1998,30.252
GGX,General government total expenditure,Percent of GDP,1999,29.256
GGX,General government total expenditure,Percent of GDP,2000,30.475
GGX,General government total expenditure,Percent of GDP,2001,31.614
GGX,General government total expenditure,Percent of GDP,2002,31.628
GGX,General government total expenditure,Percent of GDP,2003,31.156
GGX,General government total expenditure,Percent of GDP,2004,30.546
GGX,General government total expenditure,Percent of GDP,2005,31.34
GGX,General government total expenditure,Percent of GDP,2006,31.504
GGX,General government total expenditure,Percent of GDP,2007,32.016
GGX,General government total expenditure,Percent of GDP,2008,32.629
GGX,General government total expenditure,Percent of GDP,2009,33.027
GGX,General government total expenditure,Percent of GDP,2010,33.149
GGX,General government total expenditure,Percent of GDP,2011,34.018
GGX,General government total expenditure,Percent of GDP,2012,34.742
GGX,General government total expenditure,Percent of GDP,2013,34.148
GGX,General government total expenditure,Percent of GDP,2014,33.457
GGX,General government total expenditure,Percent of GDP,2015,33.018
GGX,General government total expenditure,Percent of GDP,2016,32.528
GGX,General government total expenditure,Percent of GDP,2017,32.227
GGX,General government total expenditure,Percent of GDP,2018,31.902
GGX,General government total expenditure,Percent of GDP,2019,31.96
GGX,General government total expenditure,Percent of GDP,2020,34.914
GGX,General government total expenditure,Percent of GDP,2021,33.55
GGX,General government total expenditure,Percent of GDP,2022,32.103
GGX,General government total expenditure,Percent of GDP,2023,31.127
GGX,General government total expenditure,Percent of GDP,2024,31.637
GGX,General government total expenditure,Percent of GDP,2025,31.358
GGX,General government total expenditure,Percent of GDP,2026,31.194
GGX,General government total expenditure,Percent of GDP,2027,31.18
GGX,General government total expenditure,Percent of GDP,2028,31.167
GGX,General government total expenditure,Percent of GDP,2029,31.0
GGXCNL,General government net lending/borrowing,Percent of GDP,1990,-2.036
GGXCNL,General government net lending/borrowing,Percent of GDP,1991,-2.771
GGXCNL,General government net lending/borrowing,Percent of GDP,1992,-2.784
GGXCNL,General government net lending/borrowing,Percent of GDP,1993,-2.639
GGXCNL,General government net lending/borrowing,Percent of GDP,1994,-3.948
GGXCNL,General government net lending/borrowing,Percent of GDP,1995,-4.084
GGXCNL,General government net lending/borrowing,Percent of GDP,1996,-2.473
GGXCNL,General government net lending/borrowing,Percent of GDP,1997,-2.183
GGXCNL,General government net lending/borrowing,Percent of GDP,1998,-2.171
GGXCNL,General government net lending/borrowing,Percent of GDP,1999,-1.313
GGXCNL,General government net lending/borrowing,Percent of GDP,2000,-2.017
GGXCNL,General government net lending/borrowing,Percent of GDP,2001,-3.076
GGXCNL,General government net lending/borrowing,Percent of GDP,2002,-3.479
GGXCNL,General government net lending/borrowing,Percent of GDP,2003,-3.384
GGXCNL,General government net lending/borrowing,Percent of GDP,2004,-2.594
GGXCNL,General government net lending/borrowing,Percent of GDP,2005,-2.195
GGXCNL,General government net lending/borrowing,Percent of GDP,2006,-2.175
GGXCNL,General government net lending/borrowing,Percent of GDP,2007,-1.339
GGXCNL,General government net lending/borrowing,Percent of GDP,2008,-1.037
GGXCNL,General government net lending/borrowing,Percent of GDP,2009,-2.779
GGXCNL,General government net lending/borrowing,Percent of GDP,2010,-3.064
GGXCNL,General government net lending/borrowing,Percent of GDP,2011,-2.969
GGXCNL,General government net lending/borrowing,Percent of GDP,2012,-3.984
GGXCNL,General government net lending/borrowing,Percent of GDP,2013,-3.644
GGXCNL,General government net lending/borrowing,Percent of GDP,2014,-3.345
GGXCNL,General government net lending/borrowing,Percent of GDP,2015,-3.213
GGXCNL,General government net lending/borrowing,Percent of GDP,2016,-3.347
GGXCNL,General government net lending/borrowing,Percent of GDP,2017,-2.99
GGXCNL,General government net lending/borrowing,Percent of GDP,2018,-2.63
GGXCNL,General government net lending/borrowing,Percent of GDP,2019,-4.003
GGXCNL,General government net lending/borrowing,Percent of GDP,2020,-6.808
GGXCNL,General government net lending/borrowing,Percent of GDP,2021,-5.656
GGXCNL,General government net lending/borrowing,Percent of GDP,2022,-3.775
GGXCNL,General government net lending/borrowing,Percent of GDP,2023,-3.449
GGXCNL,General government net lending/borrowing,Percent of GDP,2024,-3.303
GGXCNL,General government net lending/borrowing,Percent of GDP,2025,-3.48
GGXCNL,General government net lending/borrowing,Percent of GDP,2026,-3.468
GGXCNL,General government net lending/borrowing,Percent of GDP,2027,-3.415
GGXCNL,General government net lending/borrowing,Percent of GDP,2028,-3.35
GGXCNL,General government net lending/borrowing,Percent of GDP,2029,-3.3
GGXWDG,General government gross debt,Percent of GDP,1990,76.663
GGXWDG,General government gross debt,Percent of GDP,1991,72.65
GGXWDG,General government gross debt,Percent of GDP,1992,75.117
GGXWDG,General government gross debt,Percent of GDP,1993,77.478
GGXWDG,General government gross debt,Percent of GDP,1994,80.59
GGXWDG,General government gross debt,Percent of GDP,1995,82.619
GGXWDG,General government gross debt,Percent of GDP,1996,79.877
GGXWDG,General government gross debt,Percent of GDP,1997,78.622
GGXWDG,General government gross debt,Percent of GDP,1998,77.975
GGXWDG,General government gross debt,Percent of GDP,1999,76.403
GGXWDG,General government gross debt,Percent of GDP,2000,72.47
GGXWDG,General government gross debt,Percent of GDP,2001,69.395
GGXWDG,General government gross debt,Percent of GDP,2002,66.773
GGXWDG,General government gross debt,Percent of GDP,2003,62.933
GGXWDG,General government gross debt,Percent of GDP,2004,60.631
GGXWDG,General government gross debt,Percent of GDP,2005,58.66
GGXWDG,General government gross debt,Percent of GDP,2006,55.731
GGXWDG,General government gross debt,Percent of GDP,2007,52.533
GGXWDG,General government gross debt,Percent of GDP,2008,49.94
GGXWDG,General government gross debt,Percent of GDP,2009,48.367
GGXWDG,General government gross debt,Percent of GDP,2010,48.197
GGXWDG,General government gross debt,Percent of GDP,2011,47.869
GGXWDG,General government gross debt,Percent of GDP,2012,49.808
GGXWDG,General government gross debt,Percent of GDP,2013,50.538
GGXWDG,General government gross debt,Percent of GDP,2014,52.415
GGXWDG,General government gross debt,Percent of GDP,2015,54.654
GGXWDG,General government gross debt,Percent of GDP,2016,57.03
GGXWDG,General government gross debt,Percent of GDP,2017,58.94
GGXWDG,General government gross debt,Percent of GDP,2018,59.07
GGXWDG,General government gross debt,Percent of GDP,2019,60.655
GGXWDG,General government gross debt,Percent of GDP,2020,71.906
GGXWDG,General government gross debt,Percent of GDP,2021,70.465
GGXWDG,General government gross debt,Percent of GDP,2022,70.076
GGXWDG,General government gross debt,Percent of GDP,2023,69.573
GGXWDG,General government gross debt,Percent of GDP,2024,68.221
GGXWDG,General government gross debt,Percent of GDP,2025,67.14
GGXWDG,General government gross debt,Percent of GDP,2026,65.836
GGXWDG,General government gross debt,Percent of GDP,2027,64.59
GGXWDG,General government gross debt,Percent of GDP,2028,63.396
GGXWDG,General government gross debt,Percent of GDP,2029,62.3
LP,Population,Persons (millions),1980,19.737
LP,Population,Persons (millions),1981,20.051
LP,Population,Persons (millions),1982,20.368
LP,Population,Persons (millions),1983,20.682
LP,Population,Persons (millions),1984,20.993
LP,Population,Persons (millions),1985,21.302
LP,Population,Persons (millions),1986,21.62
LP,Population,Persons (millions),1987,21.939
LP,Population,Persons (millions),1988,22.263
LP,Population,Persons (millions),1989,22.589
LP,Population,Persons (millions),1990,22.921
LP,Population,Persons (millions),1991,23.254
LP,Population,Persons (millions),1992,23.589
LP,Population,Persons (millions),1993,23.921
LP,Population,Persons (millions),1994,24.25
LP,Population,Persons (millions),1995,24.574
LP,Population,Persons (millions),1996,24.914
LP,Population,Persons (millions),1997,25.237
LP,Population,Persons (millions),1998,25.553
LP,Population,Persons (millions),1999,25.864
LP,Population,Persons (millions),2000,26.17
LP,Population,Persons (millions),2001,26.472
LP,Population,Persons (millions),2002,26.781
LP,Population,Persons (millions),2003,27.082
LP,Population,Persons (millions),2004,27.377
LP,Population,Persons (millions),2005,27.642
LP,Population,Persons (millions),2006,27.905
LP,Population,Persons (millions),2007,28.17
LP,Population,Persons (millions),2008,28.435
LP,Population,Persons (millions),2009,28.699
LP,Population,Persons (millions),2010,28.96
LP,Population,Persons (millions),2011,29.22
LP,Population,Persons (millions),2012,29.479
LP,Population,Persons (millions),2013,29.737
LP,Population,Persons (millions),2014,29.996
LP,Population,Persons (millions),2015,30.235
LP,Population,Persons (millions),2016,30.455
LP,Population,Persons (millions),2017,30.673
LP,Population,Persons (millions),2018,30.885
LP,Population,Persons (millions),2019,31.08
LP,Population,Persons (millions),2020,31.269
LP,Population,Persons (millions),2021,31.456
LP,Population,Persons (millions),2022,31.64
LP,Population,Persons (millions),2023,31.825
LP,Population,Persons (millions),2024,31.997
LP,Population,Persons (millions),2025,32.165
LP,Population,Persons (millions),2026,32.332
LP,Population,Persons (millions),2027,32.499
LP,Population,Persons (millions),2028,32.667
LP,Population,Persons (millions),2029,32.835
LUR,Unemployment rate,Percent of total labor force,1980,13.1
LUR,Unemployment rate,Percent of total labor force,1981,13.275
LUR,Unemployment rate,Percent of total labor force,1982,13.45
LUR,Unemployment rate,Percent of total labor force,1983,13.625
LUR,Unemployment rate,Percent of total labor force,1984,13.8
LUR,Unemployment rate,Percent of total labor force,1985,13.975
LUR,Unemployment rate,Percent of total labor force,1986,14.15
LUR,Unemployment rate,Percent of total labor force,1987,14.325
LUR,Unemployment rate,Percent of total labor force,1988,14.5
LUR,Unemployment rate,Percent of total labor force,1989,14.675
LUR,Unemployment rate,Percent of total labor force,1990,14.85
LUR,Unemployment rate,Percent of total labor force,1991,15.025
LUR,Unemployment rate,Percent of total labor force,1992,15.2
LUR,Unemployment rate,Percent of total labor force,1993,15.375
LUR,Unemployment rate,Percent of total labor force,1994,15.55
LUR,Unemployment rate,Percent of total labor force,1995,15.725
LUR,Unemployment rate,Percent of total labor force,1996,15.9
LUR,Unemployment rate,Percent of total labor force,1997,14.975
LUR,Unemployment rate,Percent of total labor force,1998,14.05
LUR,Unemployment rate,Percent of total labor force,1999,13.45
LUR,Unemployment rate,Percent of total labor force,2000,13.4
LUR,Unemployment rate,Percent of total labor force,2001,12.3
LUR,Unemployment rate,Percent of total labor force,2002,11.6
LUR,Unemployment rate,Percent of total labor force,2003,11.9
LUR,Unemployment rate,Percent of total labor force,2004,10.8
LUR,Unemployment rate,Percent of total labor force,2005,11.1
LUR,Unemployment rate,Percent of total labor force,2006,9.7
LUR,Unemployment rate,Percent of total labor force,2007,9.6
LUR,Unemployment rate,Percent of total labor force,2008,9.6
LUR,Unemployment rate,Percent of total labor force,2009,9.1
LUR,Unemployment rate,Percent of total labor force,2010,9.1
LUR,Unemployment rate,Percent of total labor force,2011,8.9
LUR,Unemployment rate,Percent of total labor force,2012,9.0
LUR,Unemployment rate,Percent of total labor force,2013,9.2
LUR,Unemployment rate,Percent of total labor force,2014,9.7
LUR,Unemployment rate,Percent of total labor force,2015,9.7
LUR,Unemployment rate,Percent of total labor force,2016,9.9
LUR,Unemployment rate,Percent of total labor force,2017,10.2
LUR,Unemployment rate,Percent of total labor force,2018,10.0
LUR,Unemployment rate,Percent of total labor force,2019,9.2
LUR,Unemployment rate,Percent of total labor force,2020,11.9
LUR,Unemployment rate,Percent of total labor force,2021,12.3
LUR,Unemployment rate,Percent of total labor force,2022,11.8
LUR,Unemployment rate,Percent of total labor force,2023,12.4
LUR,Unemployment rate,Percent of total labor force,2024,12.2
LUR,Unemployment rate,Percent of total labor force,2025,12.0
LUR,Unemployment rate,Percent of total labor force,2026,12.2
LUR,Unemployment rate,Percent of total labor force,2027,12.2
LUR,Unemployment rate,Percent of total labor force,2028,12.2
LUR,Unemployment rate,Percent of total labor force,2029,12.2
NGDP,"Gross domestic product, constant prices",National currency,1980,215.11
NGDP,"Gross domestic product, constant prices",National currency,1981,209.16
NGDP,"Gross domestic product, constant prices",National currency,1982,223.5
NGDP,"Gross domestic product, constant prices",National currency,1983,226.15
NGDP,"Gross domestic product, constant prices",National currency,1984,236.21
NGDP,"Gross domestic product, constant prices",National currency,1985,251.16
NGDP,"Gross domestic product, constant prices",National currency,1986,272.58
NGDP,"Gross domestic product, constant prices",National currency,1987,265.78
NGDP,"Gross domestic product, constant prices",National currency,1988,293.32
NGDP,"Gross domestic product, constant prices",National currency,1989,298.48
NGDP,"Gross domestic product, constant prices",National currency,1990,310.3
NGDP,"Gross domestic product, constant prices",National currency,1991,331.84
NGDP,"Gross domestic product, constant prices",National currency,1992,318.6
NGDP,"Gross domestic product, constant prices",National currency,1993,315.45
NGDP,"Gross domestic product, constant prices",National currency,1994,349.1
NGDP,"Gross domestic product, constant prices",National currency,1995,326.17
NGDP,"Gross domestic product, constant prices",National currency,1996,365.19
NGDP,"Gross domestic product, constant prices",National currency,1997,392.75
NGDP,"Gross domestic product, constant prices",National currency,1998,423.03
NGDP,"Gross domestic product, constant prices",National currency,1999,424.85
NGDP,"Gross domestic product, constant prices",National currency,2000,431.59
NGDP,"Gross domestic product, constant prices",National currency,2001,458.58
NGDP,"Gross domestic product, constant prices",National currency,2002,472.6
NGDP,"Gross domestic product, constant prices",National currency,2003,498.36
NGDP,"Gross domestic product, constant prices",National currency,2004,519.08
NGDP,"Gross domestic product, constant prices",National currency,2005,533.82
NGDP,"Gross domestic product, constant prices",National currency,2006,562.55
NGDP,"Gross domestic product, constant prices",National currency,2007,581.17
NGDP,"Gross domestic product, constant prices",National currency,2008,614.0
NGDP,"Gross domestic product, constant prices",National currency,2009,640.0
NGDP,"Gross domestic product, constant prices",National currency,2010,662.89
NGDP,"Gross domestic product, constant prices",National currency,2011,697.38
NGDP,"Gross domestic product, constant prices",National currency,2012,718.35
NGDP,"Gross domestic product, constant prices",National currency,2013,751.22
NGDP,"Gross domestic product, constant prices",National currency,2014,771.17
NGDP,"Gross domestic product, constant prices",National currency,2015,806.85
NGDP,"Gross domestic product, constant prices",National currency,2016,809.71
NGDP,"Gross domestic product, constant prices",National currency,2017,848.98
NGDP,"Gross domestic product, constant prices",National currency,2018,875.11
NGDP,"Gross domestic product, constant prices",National currency,2019,900.25
NGDP,"Gross domestic product, constant prices",National currency,2020,835.59
NGDP,"Gross domestic product, constant prices",National currency,2021,902.97
NGDP,"Gross domestic product, constant prices",National currency,2022,916.14
NGDP,"Gross domestic product, constant prices",National currency,2023,946.97
NGDP,"Gross domestic product, constant prices",National currency,2024,978.23
NGDP,"Gross domestic product, constant prices",National currency,2025,1016.35
NGDP,"Gross domestic product, constant prices",National currency,2026,1056.93
NGDP,"Gross domestic product, constant prices",National currency,2027,1099.13
NGDP,"Gross domestic product, constant prices",National currency,2028,1143.02
NGDP,"Gross domestic product, constant prices",National currency,2029,1187.61
NGDPD,"Gross domestic product, current prices",U.S. dollars,1980,21288.95
NGDPD,"Gross domestic product, current prices",U.S. dollars,1981,17192.947
NGDPD,"Gross domestic product, current prices",U.S. dollars,1982,17379.101
NGDPD,"Gross domestic product, current prices",U.S. dollars,1983,16837.217
NGDPD,"Gross domestic product, current prices",U.S. dollars,1984,16745.854
NGDPD,"Gross domestic product, current prices",U.S. dollars,1985,17697.676
NGDPD,"Gross domestic product, current prices",U.S. dollars,1986,21095.533
NGDPD,"Gross domestic product, current prices",U.S. dollars,1987,22874.97
NGDPD,"Gross domestic product, current prices",U.S. dollars,1988,25280.759
NGDPD,"Gross domestic product, current prices",U.S. dollars,1989,26130.879
NGDPD,"Gross domestic product, current prices",U.S. dollars,1990,28590.88
NGDPD,"Gross domestic product, current prices",U.S. dollars,1991,31084.027
NGDPD,"Gross domestic product, current prices",U.S. dollars,1992,32158.048
NGDPD,"Gross domestic product, current prices",U.S. dollars,1993,31853.601
NGDPD,"Gross domestic product, current prices",U.S. dollars,1994,35022.693
NGDPD,"Gross domestic product, current prices",U.S. dollars,1995,36838.756
NGDPD,"Gross domestic product, current prices",U.S. dollars,1996,39841.9
NGDPD,"Gross domestic product, current prices",U.S. dollars,1997,38713.442
NGDPD,"Gross domestic product, current prices",U.S. dollars,1998,42592.697
NGDPD,"Gross domestic product, current prices",U.S. dollars,1999,43107.035
NGDPD,"Gross domestic product, current prices",U.S. dollars,2000,42562.726
NGDPD,"Gross domestic product, current prices",U.S. dollars,2001,43955.025
NGDPD,"Gross domestic product, current prices",U.S. dollars,2002,47636.952
NGDPD,"Gross domestic product, current prices",U.S. dollars,2003,55849.658
NGDPD,"Gross domestic product, current prices",U.S. dollars,2004,63968.609
NGDPD,"Gross domestic product, current prices",U.S. dollars,2005,68055.16
NGDPD,"Gross domestic product, current prices",U.S. dollars,2006,74053.146
NGDPD,"Gross domestic product, current prices",U.S. dollars,2007,81584.047
NGDPD,"Gross domestic product, current prices",U.S. dollars,2008,92952.276
NGDPD,"Gross domestic product, current prices",U.S. dollars,2009,92866.847
NGDPD,"Gross domestic product, current prices",U.S. dollars,2010,93217.095
NGDPD,"Gross domestic product, current prices",U.S. dollars,2011,101378.508
NGDPD,"Gross domestic product, current prices",U.S. dollars,2012,98778.357
NGDPD,"Gross domestic product, current prices",U.S. dollars,2013,107242.543
NGDPD,"Gross domestic product, current prices",U.S. dollars,2014,110017.774
NGDPD,"Gross domestic product, current prices",U.S. dollars,2015,110195.88
NGDPD,"Gross domestic product, current prices",U.S. dollars,2016,111257.939
NGDPD,"Gross domestic product, current prices",U.S. dollars,2017,115369.714
NGDPD,"Gross domestic product, current prices",U.S. dollars,2018,123352.575
NGDPD,"Gross domestic product, current prices",U.S. dollars,2019,125280.152
NGDPD,"Gross domestic product, current prices",U.S. dollars,2020,114670.981
NGDPD,"Gross domestic product, current prices",U.S. dollars,2021,141689.577
NGDPD,"Gross domestic product, current prices",U.S. dollars,2022,134260.128
NGDPD,"Gross domestic product, current prices",U.S. dollars,2023,143982.905
NGDPD,"Gross domestic product, current prices",U.S. dollars,2024,152374.295
NGDPD,"Gross domestic product, current prices",U.S. dollars,2025,167210.199
NGDPD,"Gross domestic product, current prices",U.S. dollars,2026,183522.45
NGDPD,"Gross domestic product, current prices",U.S. dollars,2027,200098.419
NGDPD,"Gross domestic product, current prices",U.S. dollars,2028,218371.142
NGDPD,"Gross domestic product, current prices",U.S. dollars,2029,258368.0
NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,1980,1078.636
NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,1981,857.448
NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,1982,853.269
NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,1983,814.216
NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,1984,797.784
NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,1985,830.755
NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,1986,975.738
NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,1987,1042.648
NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,1988,1135.531
NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,1989,1156.836
NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,1990,1247.476
NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,1991,1336.733
NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,1992,1363.282
NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,1993,1331.462
NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,1994,1443.925
NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,1995,1498.244
NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,1996,1599.021
NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,1997,1534.131
NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,1998,1666.865
NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,1999,1666.468
NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,1626.399
